Date,S&P500,ScaleToOne
2018/1/2,2695.81,1
2018/1/3,2713.06,1.006398819
2018/1/4,2723.99,1.010453259
2018/1/5,2743.15,1.017560585
2018/1/8,2747.71,1.019252099
2018/1/9,2751.29,1.020580085
2018/1/10,2748.23,1.019444991
2018/1/11,2767.56,1.026615377
2018/1/12,2786.24,1.033544649
2018/1/16,2776.42,1.029901959
2018/1/17,2802.56,1.039598488
2018/1/18,2798.03,1.037918103
2018/1/19,2810.3,1.04246961
2018/1/22,2832.97,1.050878957
2018/1/23,2839.13,1.053163984
2018/1/24,2837.54,1.05257418
2018/1/25,2839.25,1.053208498
2018/1/26,2872.87,1.065679703
2018/1/29,2853.53,1.058505607
2018/1/30,2822.43,1.046969186
2018/1/31,2823.81,1.047481091
2018/2/1,2821.98,1.04680226
2018/2/2,2762.13,1.02460114
2018/2/5,2648.94,0.98261376
2018/2/6,2695.14,0.999751466
2018/2/7,2681.66,0.994751114
2018/2/8,2581,0.957411687
2018/2/9,2619.55,0.971711656
2018/2/12,2656,0.985232639
2018/2/13,2662.94,0.987807004
2018/2/14,2698.63,1.001046068
2018/2/15,2731.2,1.01312778
2018/2/16,2732.22,1.013506145
2018/2/20,2716.26,1.007585846
2018/2/21,2701.33,1.002047622
2018/2/22,2703.96,1.00302321
2018/2/23,2747.3,1.019100011
2018/2/26,2779.6,1.031081567
2018/2/27,2744.28,1.017979754
2018/2/28,2713.83,1.006684447
2018/3/1,2677.67,0.993271039
2018/3/2,2691.25,0.998308486
2018/3/5,2720.94,1.009321874
2018/3/6,2728.12,1.011985266
2018/3/7,2726.8,1.011495617
2018/3/8,2738.97,1.01601003
2018/3/9,2786.57,1.033667061
2018/3/12,2783.02,1.032350203
2018/3/13,2765.31,1.025780749
2018/3/14,2749.48,1.019908673
2018/3/15,2747.33,1.019111139
2018/3/16,2752.01,1.020847167
2018/3/19,2712.92,1.006346886
2018/3/20,2716.94,1.007838089
2018/3/21,2711.93,1.00597965
2018/3/22,2643.69,0.980666293
2018/3/23,2588.26,0.960104755
2018/3/26,2658.55,0.986178551
2018/3/27,2612.62,0.969141
2018/3/28,2605,0.966314392
2018/3/29,2640.87,0.979620225
2018/4/2,2581.88,0.95773812
2018/4/3,2614.45,0.969819832
2018/4/4,2644.69,0.981037239
2018/4/5,2662.84,0.98776991
2018/4/6,2604.47,0.96611779
2018/4/9,2613.16,0.969341311
2018/4/10,2656.87,0.985555362
2018/4/11,2642.19,0.980109874
2018/4/12,2663.99,0.988196498
2018/4/13,2656.3,0.985343923
2018/4/16,2677.84,0.9933341
2018/4/17,2706.39,1.003924609
2018/4/18,2708.64,1.004759237
2018/4/19,2693.13,0.999005865
2018/4/20,2670.14,0.990477816
2018/4/23,2670.29,0.990533457
2018/4/24,2634.56,0.977279556
2018/4/25,2639.4,0.979074935
2018/4/26,2666.94,0.989290788
2018/4/27,2669.91,0.990392498
2018/4/30,2648.05,0.982283618
2018/5/1,2654.8,0.984787504
2018/5/2,2635.67,0.977691306
2018/5/3,2629.73,0.975487887
2018/5/4,2663.42,0.987985058
2018/5/7,2672.63,0.991401471
2018/5/8,2671.92,0.991138099
2018/5/9,2697.79,1.000734473
2018/5/10,2723.07,1.010111989
2018/5/11,2727.72,1.011836888
2018/5/14,2730.13,1.012730868
2018/5/15,2711.45,1.005801596
2018/5/16,2722.46,1.009885712
2018/5/17,2720.13,1.009021407
2018/5/18,2712.97,1.006365434
2018/5/21,2733.01,1.013799192
2018/5/22,2724.44,1.010620185
2018/5/23,2733.29,1.013903057
2018/5/24,2727.76,1.011851725
2018/5/25,2721.33,1.009466543
2018/5/29,2689.86,0.997792871
2018/5/30,2724.01,1.010460678
2018/5/31,2705.27,1.003509149
2018/6/1,2734.62,1.014396415
2018/6/4,2746.87,1.018940504
2018/6/5,2748.8,1.01965643
2018/6/6,2772.35,1.028392209
2018/6/7,2770.37,1.027657736
2018/6/8,2779.03,1.030870128
2018/6/11,2782,1.031971838
2018/6/12,2786.85,1.033770926
2018/6/13,2775.63,1.029608912
2018/6/14,2782.49,1.032153601
2018/6/15,2779.66,1.031103824
2018/6/18,2773.75,1.028911533
2018/6/19,2762.59,1.024771775
2018/6/20,2767.32,1.02652635
2018/6/21,2749.76,1.020012538
2018/6/22,2754.88,1.021911782
2018/6/25,2717.07,1.007886312
2018/6/26,2723.06,1.010108279
2018/6/27,2699.63,1.001417014
2018/6/28,2716.31,1.007604393
2018/6/29,2718.37,1.008368542
2018/7/2,2726.71,1.011462232
2018/7/3,2713.22,1.00645817
2018/7/5,2736.61,1.015134598
2018/7/6,2759.82,1.023744255
2018/7/9,2784.17,1.032776791
2018/7/10,2793.84,1.036363839
2018/7/11,2774.02,1.029011689
2018/7/12,2798.29,1.038014549
2018/7/13,2801.31,1.039134805
2018/7/16,2798.43,1.038066481
2018/7/17,2809.55,1.042191401
2018/7/18,2815.62,1.044443043
2018/7/19,2804.49,1.040314414
2018/7/20,2801.83,1.039327697
2018/7/23,2806.98,1.041238069
2018/7/24,2820.4,1.046216165
2018/7/25,2846.07,1.05573835
2018/7/26,2837.44,1.052537085
2018/7/27,2818.82,1.04563007
2018/7/30,2802.6,1.039613326
2018/7/31,2816.29,1.044691577
2018/8/1,2813.36,1.043604705
2018/8/2,2827.22,1.048746017
