Macrotrends Data Download

30 Year Fixed Mortgage Rate - Historical Chart

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.



ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, value
1971-04-01,7.290
1971-05-01,7.460
1971-06-01,7.540
1971-07-01,7.690
1971-08-01,7.690
1971-09-01,7.670
1971-10-01,7.630
1971-11-01,7.510
1971-12-01,7.480
1972-01-01,7.400
1972-02-01,7.310
1972-03-01,7.230
1972-04-01,7.330
1972-05-01,7.400
1972-06-01,7.380
1972-07-01,7.400
1972-08-01,7.420
1972-09-01,7.430
1972-10-01,7.420
1972-11-01,7.440
1972-12-01,7.450
1973-01-01,7.430
1973-02-01,7.450
1973-03-01,7.490
1973-04-01,7.560
1973-05-01,7.700
1973-06-01,7.760
1973-07-01,8.180
1973-08-01,8.660
1973-09-01,8.850
1973-10-01,8.680
1973-11-01,8.550
1973-12-01,8.560
1974-01-01,8.520
1974-02-01,8.420
1974-03-01,8.410
1974-04-01,8.730
1974-05-01,9.030
1974-06-01,9.100
1974-07-01,9.420
1974-08-01,9.740
1974-09-01,10.030
1974-10-01,9.940
1974-11-01,9.720
1974-12-01,9.560
1975-01-01,9.290
1975-02-01,9.020
1975-03-01,8.860
1975-04-01,8.840
1975-05-01,8.890
1975-06-01,8.900
1975-07-01,8.890
1975-08-01,9.020
1975-09-01,9.140
1975-10-01,9.240
1975-11-01,9.110
1975-12-01,9.090
1976-01-01,8.900
1976-02-01,8.750
1976-03-01,8.750
1976-04-01,8.750
1976-05-01,8.780
1976-06-01,8.900
1976-07-01,8.980
1976-08-01,9.000
1976-09-01,8.970
1976-10-01,8.900
1976-11-01,8.800
1976-12-01,8.780
1977-01-01,8.730
1977-02-01,8.650
1977-03-01,8.700
1977-04-01,8.780
1977-05-01,8.850
1977-06-01,8.880
1977-07-01,8.930
1977-08-01,8.930
1977-09-01,8.900
1977-10-01,8.900
1977-11-01,8.930
1977-12-01,9.000
1978-01-01,9.050
1978-02-01,9.150
1978-03-01,9.250
1978-04-01,9.430
1978-05-01,9.680
1978-06-01,9.730
1978-07-01,9.750
1978-08-01,9.800
1978-09-01,9.780
1978-10-01,9.880
1978-11-01,10.280
1978-12-01,10.380
1979-01-01,10.400
1979-02-01,10.400
1979-03-01,10.450
1979-04-01,10.530
1979-05-01,10.750
1979-06-01,11.100
1979-07-01,11.080
1979-08-01,11.130
1979-09-01,11.350
1979-10-01,12.000
1979-11-01,12.900
1979-12-01,12.900
1980-01-01,12.890
1980-02-01,13.590
1980-03-01,16.030
1980-04-01,16.250
1980-05-01,13.200
1980-06-01,12.350
1980-07-01,12.180
1980-08-01,12.950
1980-09-01,13.430
1980-10-01,14.000
1980-11-01,14.280
1980-12-01,14.950
1981-01-01,15.070
1981-02-01,15.300
1981-03-01,15.400
1981-04-01,15.770
1981-05-01,16.800
1981-06-01,16.620
1981-07-01,17.110
1981-08-01,17.480
1981-09-01,18.360
1981-10-01,18.440
1981-11-01,17.210
1981-12-01,17.040
1982-01-01,17.590
1982-02-01,17.520
1982-03-01,17.040
1982-04-01,16.810
1982-05-01,16.630
1982-06-01,16.730
1982-07-01,16.650
1982-08-01,15.880
1982-09-01,15.190
1982-10-01,14.150
1982-11-01,13.770
1982-12-01,13.570
1983-01-01,13.100
1983-02-01,12.980
1983-03-01,12.860
1983-04-01,12.730
1983-05-01,12.680
1983-06-01,12.960
1983-07-01,13.650
1983-08-01,13.780
1983-09-01,13.650
1983-10-01,13.430
1983-11-01,13.430
1983-12-01,13.430
1984-01-01,13.290
1984-02-01,13.250
1984-03-01,13.550
1984-04-01,13.730
1984-05-01,14.080
1984-06-01,14.500
1984-07-01,14.670
1984-08-01,14.380
1984-09-01,14.260
1984-10-01,14.050
1984-11-01,13.420
1984-12-01,13.140
1985-01-01,12.960
1985-02-01,12.940
1985-03-01,13.290
1985-04-01,13.120
1985-05-01,12.710
1985-06-01,12.150
1985-07-01,12.030
1985-08-01,12.110
1985-09-01,12.170
1985-10-01,12.070
1985-11-01,11.580
1985-12-01,11.090
1986-01-01,10.890
1986-02-01,10.510
1986-03-01,10.100
1986-04-01,9.860
1986-05-01,10.380
1986-06-01,10.620
1986-07-01,10.400
1986-08-01,9.930
1986-09-01,10.100
1986-10-01,9.890
1986-11-01,9.500
1986-12-01,9.290
1987-01-01,9.080
1987-02-01,9.070
1987-03-01,9.030
1987-04-01,10.370
1987-05-01,10.700
1987-06-01,10.350
1987-07-01,10.270
1987-08-01,10.330
1987-09-01,11.020
1987-10-01,10.970
1987-11-01,10.550
1987-12-01,10.610
1988-01-01,10.160
1988-02-01,9.870
1988-03-01,9.990
1988-04-01,10.280
1988-05-01,10.580
1988-06-01,10.400
1988-07-01,10.490
1988-08-01,10.670
1988-09-01,10.420
1988-10-01,10.220
1988-11-01,10.390
1988-12-01,10.770
1989-01-01,10.600
1989-02-01,10.780
1989-03-01,11.190
1989-04-01,11.030
1989-05-01,10.500
1989-06-01,10.070
1989-07-01,9.810
1989-08-01,10.210
1989-09-01,10.160
1989-10-01,9.820
1989-11-01,9.740
1989-12-01,9.780
1990-01-01,10.050
1990-02-01,10.310
1990-03-01,10.220
1990-04-01,10.560
1990-05-01,10.330
1990-06-01,10.150
1990-07-01,9.980
1990-08-01,10.240
1990-09-01,10.220
1990-10-01,10.170
1990-11-01,9.900
1990-12-01,9.680
1991-01-01,9.610
1991-02-01,9.290
1991-03-01,9.520
1991-04-01,9.530
1991-05-01,9.450
1991-06-01,9.670
1991-07-01,9.500
1991-08-01,9.150
1991-09-01,8.920
1991-10-01,8.910
1991-11-01,8.700
1991-12-01,8.350
1992-01-01,8.680
1992-02-01,8.830
1992-03-01,8.980
1992-04-01,8.850
1992-05-01,8.600
1992-06-01,8.430
1992-07-01,8.050
1992-08-01,8.010
1992-09-01,8.020
1992-10-01,8.210
1992-11-01,8.290
1992-12-01,8.140
1993-01-01,7.860
1993-02-01,7.530
1993-03-01,7.500
1993-04-01,7.430
1993-05-01,7.500
1993-06-01,7.340
1993-07-01,7.250
1993-08-01,6.970
1993-09-01,6.950
1993-10-01,6.860
1993-11-01,7.310
1993-12-01,7.130
1994-01-01,6.970
1994-02-01,7.320
1994-03-01,7.800
1994-04-01,8.320
1994-05-01,8.530
1994-06-01,8.460
1994-07-01,8.570
1994-08-01,8.560
1994-09-01,8.820
1994-10-01,9.030
1994-11-01,9.250
1994-12-01,9.180
1995-01-01,9.130
1995-02-01,8.730
1995-03-01,8.380
1995-04-01,8.260
1995-05-01,7.850
1995-06-01,7.530
1995-07-01,7.790
1995-08-01,7.880
1995-09-01,7.620
1995-10-01,7.450
1995-11-01,7.350
1995-12-01,7.110
1996-01-01,7.000
1996-02-01,7.320
1996-03-01,7.690
1996-04-01,7.920
1996-05-01,8.030
1996-06-01,8.290
1996-07-01,8.190
1996-08-01,8.090
1996-09-01,8.160
1996-10-01,7.860
1996-11-01,7.520
1996-12-01,7.640
1997-01-01,7.880
1997-02-01,7.650
1997-03-01,7.970
1997-04-01,8.080
1997-05-01,7.940
1997-06-01,7.580
1997-07-01,7.430
1997-08-01,7.580
1997-09-01,7.280
1997-10-01,7.210
1997-11-01,7.170
1997-12-01,6.990
1998-01-01,7.120
1998-02-01,7.090
1998-03-01,7.080
1998-04-01,7.150
1998-05-01,7.070
1998-06-01,6.960
1998-07-01,6.970
1998-08-01,6.920
1998-09-01,6.640
1998-10-01,6.830
1998-11-01,6.780
1998-12-01,6.830
1999-01-01,6.740
1999-02-01,6.890
1999-03-01,6.980
1999-04-01,6.930
1999-05-01,7.230
1999-06-01,7.630
1999-07-01,7.700
1999-08-01,7.800
1999-09-01,7.760
1999-10-01,7.960
1999-11-01,7.750
1999-12-01,8.060
2000-01-01,8.250
2000-02-01,8.310
2000-03-01,8.230
2000-04-01,8.130
2000-05-01,8.620
2000-06-01,8.220
2000-07-01,8.130
2000-08-01,7.990
2000-09-01,7.880
2000-10-01,7.680
2000-11-01,7.730
2000-12-01,7.130
2001-01-01,7.150
2001-02-01,7.120
2001-03-01,6.910
2001-04-01,7.120
2001-05-01,7.200
2001-06-01,7.110
2001-07-01,7.030
2001-08-01,6.920
2001-09-01,6.720
2001-10-01,6.640
2001-11-01,7.020
2001-12-01,7.160
2002-01-01,6.960
2002-02-01,6.810
2002-03-01,7.180
2002-04-01,6.880
2002-05-01,6.760
2002-06-01,6.550
2002-07-01,6.340
2002-08-01,6.220
2002-09-01,5.990
2002-10-01,6.310
2002-11-01,6.130
2002-12-01,5.930
2003-01-01,5.900
2003-02-01,5.790
2003-03-01,5.910
2003-04-01,5.790
2003-05-01,5.310
2003-06-01,5.240
2003-07-01,5.940
2003-08-01,6.320
2003-09-01,5.980
2003-10-01,5.940
2003-11-01,5.890
2003-12-01,5.850
2004-01-01,5.680
2004-02-01,5.580
2004-03-01,5.400
2004-04-01,6.010
2004-05-01,6.320
2004-06-01,6.250
2004-07-01,6.080
2004-08-01,5.820
2004-09-01,5.720
2004-10-01,5.640
2004-11-01,5.720
2004-12-01,5.810
2005-01-01,5.660
2005-02-01,5.690
2005-03-01,6.040
2005-04-01,5.780
2005-05-01,5.650
2005-06-01,5.530
2005-07-01,5.770
2005-08-01,5.770
2005-09-01,5.910
