Macrotrends Data Download

Debt to GDP Ratio Historical Chart

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.



ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, value
1966-03-01,40.340
1966-04-01,39.268
1966-05-01,39.268
1966-06-01,39.268
1966-07-01,39.621
1966-08-01,39.621
1966-09-01,39.621
1966-10-01,39.520
1966-11-01,39.520
1966-12-01,39.520
1967-01-01,39.204
1967-02-01,39.204
1967-03-01,39.204
1967-04-01,38.033
1967-05-01,38.033
1967-06-01,38.033
1967-07-01,38.821
1967-08-01,38.821
1967-09-01,38.821
1967-10-01,39.102
1967-11-01,39.102
1967-12-01,39.102
1968-01-01,38.430
1968-02-01,38.430
1968-03-01,38.430
1968-04-01,36.964
1968-05-01,36.964
1968-06-01,36.964
1968-07-01,37.309
1968-08-01,37.309
1968-09-01,37.309
1968-10-01,36.985
1968-11-01,36.985
1968-12-01,36.985
1969-01-01,36.196
1969-02-01,36.196
1969-03-01,36.196
1969-04-01,34.974
1969-05-01,34.974
1969-06-01,34.974
1969-07-01,35.019
1969-08-01,35.019
1969-09-01,35.019
1969-10-01,35.470
1969-11-01,35.470
1969-12-01,35.470
1970-01-01,35.389
1970-02-01,35.389
1970-03-01,35.389
1970-04-01,34.673
1970-05-01,34.673
1970-06-01,34.673
1970-07-01,34.867
1970-08-01,34.867
1970-09-01,34.867
1970-10-01,35.748
1970-11-01,35.748
1970-12-01,35.748
1971-01-01,34.503
1971-02-01,34.503
1971-03-01,34.503
1971-04-01,34.361
1971-05-01,34.361
1971-06-01,34.361
1971-07-01,35.007
1971-08-01,35.007
1971-09-01,35.007
1971-10-01,35.632
1971-11-01,35.632
1971-12-01,35.632
1972-01-01,34.726
1972-02-01,34.726
1972-03-01,34.726
1972-04-01,33.674
1972-05-01,33.674
1972-06-01,33.674
1972-07-01,33.624
1972-08-01,33.624
1972-09-01,33.624
1972-10-01,33.748
1972-11-01,33.748
1972-12-01,33.748
1973-01-01,33.293
1973-02-01,33.293
1973-03-01,33.293
1973-04-01,32.345
1973-05-01,32.345
1973-06-01,32.345
1973-07-01,32.125
1973-08-01,32.125
1973-09-01,32.125
1973-10-01,31.774
1973-11-01,31.774
1973-12-01,31.774
1974-01-01,31.764
1974-02-01,31.764
1974-03-01,31.764
1974-04-01,30.995
1974-05-01,30.995
1974-06-01,30.995
1974-07-01,30.863
1974-08-01,30.863
1974-09-01,30.863
1974-10-01,30.798
1974-11-01,30.798
1974-12-01,30.798
1975-01-01,31.536
1975-02-01,31.536
1975-03-01,31.536
1975-04-01,32.278
1975-05-01,32.278
1975-06-01,32.278
1975-07-01,32.380
1975-08-01,32.380
1975-09-01,32.380
1975-10-01,32.730
1975-11-01,32.730
1975-12-01,32.730
1976-01-01,32.985
1976-02-01,32.985
1976-03-01,32.985
1976-04-01,33.495
1976-05-01,33.495
1976-06-01,33.495
1976-07-01,33.643
1976-08-01,33.643
1976-09-01,33.643
1976-10-01,33.788
1976-11-01,33.788
1976-12-01,33.788
1977-01-01,33.651
1977-02-01,33.651
1977-03-01,33.651
1977-04-01,32.804
1977-05-01,32.804
1977-06-01,32.804
1977-07-01,32.988
1977-08-01,32.988
1977-09-01,32.988
1977-10-01,33.219
1977-11-01,33.219
1977-12-01,33.219
1978-01-01,33.501
1978-02-01,33.501
1978-03-01,33.501
1978-04-01,32.124
1978-05-01,32.124
1978-06-01,32.124
1978-07-01,32.214
1978-08-01,32.214
1978-09-01,32.214
1978-10-01,31.862
1978-11-01,31.862
1978-12-01,31.862
1979-01-01,31.536
1979-02-01,31.536
1979-03-01,31.536
1979-04-01,31.063
1979-05-01,31.063
1979-06-01,31.063
1979-07-01,30.984
1979-08-01,30.984
1979-09-01,30.984
1979-10-01,31.026
1979-11-01,31.026
1979-12-01,31.026
1980-01-01,30.950
1980-02-01,30.950
1980-03-01,30.950
1980-04-01,31.373
1980-05-01,31.373
1980-06-01,31.373
1980-07-01,31.777
1980-08-01,31.777
1980-09-01,31.777
1980-10-01,31.157
1980-11-01,31.157
1980-12-01,31.157
1981-01-01,30.873
1981-02-01,30.873
1981-03-01,30.873
1981-04-01,30.709
1981-05-01,30.709
1981-06-01,30.709
1981-07-01,30.603
1981-08-01,30.603
1981-09-01,30.603
1981-10-01,31.356
1981-11-01,31.356
1981-12-01,31.356
1982-01-01,32.413
1982-02-01,32.413
1982-03-01,32.413
1982-04-01,32.402
1982-05-01,32.402
1982-06-01,32.402
1982-07-01,33.925
1982-08-01,33.925
1982-09-01,33.925
1982-10-01,35.182
1982-11-01,35.182
1982-12-01,35.182
1983-01-01,35.829
1983-02-01,35.829
1983-03-01,35.829
1983-04-01,36.872
1983-05-01,36.872
1983-06-01,36.872
1983-07-01,37.331
1983-08-01,37.331
1983-09-01,37.331
1983-10-01,37.176
1983-11-01,37.176
1983-12-01,37.176
1984-01-01,37.454
1984-02-01,37.454
1984-03-01,37.454
1984-04-01,37.727
1984-05-01,37.727
1984-06-01,37.727
1984-07-01,38.496
1984-08-01,38.496
1984-09-01,38.496
1984-10-01,40.085
1984-11-01,40.085
1984-12-01,40.085
1985-01-01,40.441
1985-02-01,40.441
1985-03-01,40.441
1985-04-01,41.320
1985-05-01,41.320
1985-06-01,41.320
1985-07-01,41.559
1985-08-01,41.559
1985-09-01,41.559
1985-10-01,43.787
1985-11-01,43.787
1985-12-01,43.787
1986-01-01,44.074
1986-02-01,44.074
1986-03-01,44.074
1986-04-01,45.307
1986-05-01,45.307
1986-06-01,45.307
1986-07-01,46.125
1986-08-01,46.125
1986-09-01,46.125
1986-10-01,47.553
1986-11-01,47.553
1986-12-01,47.553
1987-01-01,47.578
1987-02-01,47.578
1987-03-01,47.578
1987-04-01,48.049
1987-05-01,48.049
1987-06-01,48.049
1987-07-01,48.117
1987-08-01,48.117
1987-09-01,48.117
1987-10-01,48.557
1987-11-01,48.557
1987-12-01,48.557
1988-01-01,49.032
1988-02-01,49.032
1988-03-01,49.032
1988-04-01,49.087
1988-05-01,49.087
1988-06-01,49.087
1988-07-01,49.257
1988-08-01,49.257
1988-09-01,49.257
1988-10-01,49.715
1988-11-01,49.715
1988-12-01,49.715
1989-01-01,49.733
1989-02-01,49.733
1989-03-01,49.733
1989-04-01,49.888
1989-05-01,49.888
1989-06-01,49.888
1989-07-01,50.171
1989-08-01,50.171
1989-09-01,50.171
1989-10-01,51.381
1989-11-01,51.381
1989-12-01,51.381
1990-01-01,51.969
1990-02-01,51.969
1990-03-01,51.969
1990-04-01,52.747
1990-05-01,52.747
1990-06-01,52.747
1990-07-01,53.753
1990-08-01,53.753
1990-09-01,53.753
1990-10-01,56.036
1990-11-01,56.036
1990-12-01,56.036
1991-01-01,57.417
1991-02-01,57.417
1991-03-01,57.417
1991-04-01,57.746
1991-05-01,57.746
1991-06-01,57.746
1991-07-01,59.061
1991-08-01,59.061
1991-09-01,59.061
1991-10-01,60.686
1991-11-01,60.686
1991-12-01,60.686
1992-01-01,60.997
1992-02-01,60.997
1992-03-01,60.997
1992-04-01,61.579
1992-05-01,61.579
1992-06-01,61.579
1992-07-01,61.898
1992-08-01,61.898
1992-09-01,61.898
1992-10-01,62.523
1992-11-01,62.523
1992-12-01,62.523
1993-01-01,62.867
1993-02-01,62.867
1993-03-01,62.867
1993-04-01,63.915
1993-05-01,63.915
1993-06-01,63.915
1993-07-01,64.101
1993-08-01,64.101
1993-09-01,64.101
1993-10-01,64.669
1993-11-01,64.669
1993-12-01,64.669
1994-01-01,64.307
1994-02-01,64.307
1994-03-01,64.307
1994-04-01,64.107
1994-05-01,64.107
1994-06-01,64.107
1994-07-01,64.012
1994-08-01,64.012
1994-09-01,64.012
1994-10-01,64.386
1994-11-01,64.386
1994-12-01,64.386
1995-01-01,64.663
1995-02-01,64.663
1995-03-01,64.663
1995-04-01,65.313
1995-05-01,65.313
1995-06-01,65.313
1995-07-01,64.739
1995-08-01,64.739
1995-09-01,64.739
1995-10-01,64.183
1995-11-01,64.183
1995-12-01,64.183
1996-01-01,65.042
1996-02-01,65.042
1996-03-01,65.042
1996-04-01,64.250
1996-05-01,64.250
1996-06-01,64.250
1996-07-01,64.255
1996-08-01,64.255
1996-09-01,64.255
1996-10-01,64.447
1996-11-01,64.447
1996-12-01,64.447
1997-01-01,64.344
1997-02-01,64.344
1997-03-01,64.344
1997-04-01,63.109
1997-05-01,63.109
1997-06-01,63.109
1997-07-01,62.487
1997-08-01,62.487
1997-09-01,62.487
1997-10-01,62.770
1997-11-01,62.770
1997-12-01,62.770
1998-01-01,62.510
1998-02-01,62.510
1998-03-01,62.510
1998-04-01,61.852
1998-05-01,61.852
1998-06-01,61.852
1998-07-01,60.587
1998-08-01,60.587
1998-09-01,60.587
1998-10-01,60.407
1998-11-01,60.407
1998-12-01,60.407
1999-01-01,60.049
1999-02-01,60.049
1999-03-01,60.049
1999-04-01,59.192
1999-05-01,59.192
1999-06-01,59.192
1999-07-01,58.393
1999-08-01,58.393
1999-09-01,58.393
1999-10-01,58.343
1999-11-01,58.343
1999-12-01,58.343
2000-01-01,57.721
2000-02-01,57.721
2000-03-01,57.721
2000-04-01,55.485
2000-05-01,55.485
2000-06-01,55.485
2000-07-01,54.992
2000-08-01,54.992
2000-09-01,54.992
2000-10-01,54.258
2000-11-01,54.258
2000-12-01,54.258
2001-01-01,55.144
2001-02-01,55.144
2001-03-01,55.144
2001-04-01,54.032
2001-05-01,54.032
2001-06-01,54.032
2001-07-01,54.798
2001-08-01,54.798
2001-09-01,54.798
2001-10-01,55.752
2001-11-01,55.752
2001-12-01,55.752
2002-01-01,55.697
2002-02-01,55.697
2002-03-01,55.697
2002-04-01,56.271
2002-05-01,56.271
2002-06-01,56.271
2002-07-01,56.703
2002-08-01,56.703
2002-09-01,56.703
2002-10-01,57.910
2002-11-01,57.910
2002-12-01,57.910
2003-01-01,57.819
2003-02-01,57.819
2003-03-01,57.819
2003-04-01,58.961
2003-05-01,58.961
2003-06-01,58.961
2003-07-01,58.645
2003-08-01,58.645
2003-09-01,58.645
2003-10-01,59.445
2003-11-01,59.445
2003-12-01,59.445
2004-01-01,59.807
2004-02-01,59.807
2004-03-01,59.807
2004-04-01,60.055
2004-05-01,60.055
2004-06-01,60.055
2004-07-01,59.966
2004-08-01,59.966
2004-09-01,59.966
2004-10-01,60.637
2004-11-01,60.637
2004-12-01,60.637
2005-01-01,60.913
2005-02-01,60.913
2005-03-01,60.913
2005-04-01,60.642
2005-05-01,60.642
2005-06-01,60.642
2005-07-01,60.359
2005-08-01,60.359
2005-09-01,60.359
2005-10-01,61.320
2005-11-01,61.320
2005-12-01,61.320
2006-01-01,61.556
2006-02-01,61.556
2006-03-01,61.556
2006-04-01,61.221
2006-05-01,61.221
2006-06-01,61.221
2006-07-01,61.333
2006-08-01,61.333
2006-09-01,61.333
2006-10-01,61.827
2006-11-01,61.827
2006-12-01,61.827
2007-01-01,62.253
2007-02-01,62.253
2007-03-01,62.253
2007-04-01,61.572
2007-05-01,61.572
2007-06-01,61.572
2007-07-01,61.848
2007-08-01,61.848
2007-09-01,61.848
2007-10-01,62.719
2007-11-01,62.719
2007-12-01,62.719
2008-01-01,64.173
2008-02-01,64.173
2008-03-01,64.173
2008-04-01,63.852
2008-05-01,63.852
2008-06-01,63.852
2008-07-01,67.285
2008-08-01,67.285
2008-09-01,67.285
2008-10-01,73.245
2008-11-01,73.245
2008-12-01,73.245
2009-01-01,77.105
2009-02-01,77.105
2009-03-01,77.105
2009-04-01,80.280
2009-05-01,80.280
2009-06-01,80.280
2009-07-01,82.427
2009-08-01,82.427
2009-09-01,82.427
2009-10-01,84.029
2009-11-01,84.029
2009-12-01,84.029
2010-01-01,86.512
2010-02-01,86.512
2010-03-01,86.512
2010-04-01,88.128
2010-05-01,88.128
2010-06-01,88.128
2010-07-01,89.565
2010-08-01,89.565
2010-09-01,89.565
2010-10-01,91.611
2010-11-01,91.611
2010-12-01,91.611
2011-01-01,92.956
2011-02-01,92.956
2011-03-01,92.956
