Macrotrends Data Download

Historical Inflation Rate by Year

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.



ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, value
1914-12-01,1
1915-12-01,1.98
1916-12-01,12.62
1917-12-01,18.1
1918-12-01,20.44
1919-12-01,14.55
1920-12-01,2.65
1921-12-01,-10.82
1922-12-01,-2.31
1923-12-01,2.37
1924-12-01,0
1925-12-01,3.47
1926-12-01,-1.12
1927-12-01,-2.26
1928-12-01,-1.16
1929-12-01,0.58
1930-12-01,-6.4
1931-12-01,-9.32
1932-12-01,-10.27
1933-12-01,0.76
1934-12-01,1.52
1935-12-01,2.99
1936-12-01,1.45
1937-12-01,2.86
1938-12-01,-2.78
1939-12-01,0
1940-12-01,0.71
1941-12-01,9.93
1942-12-01,9.03
1943-12-01,2.96
1944-12-01,2.3
1945-12-01,2.25
1946-12-01,18.13
1947-12-01,8.84
1948-12-01,2.99
1949-12-01,-2.07
1950-12-01,5.93
1951-12-01,6
1952-12-01,0.75
1953-12-01,0.75
1954-12-01,-0.74
1955-12-01,0.37
1956-12-01,2.99
1957-12-01,2.9
1958-12-01,1.76
1959-12-01,1.73
1960-12-01,1.36
1961-12-01,0.67
1962-12-01,1.33
1963-12-01,1.64
1964-12-01,0.97
1965-12-01,1.92
1966-12-01,3.46
1967-12-01,3.04
1968-12-01,4.72
1969-12-01,6.2
1970-12-01,5.57
1971-12-01,3.27
1972-12-01,3.41
1973-12-01,8.71
1974-12-01,12.34
1975-12-01,6.94
1976-12-01,4.86
1977-12-01,6.7
1978-12-01,9.02
1979-12-01,13.29
1980-12-01,12.52
1981-12-01,8.92
1982-12-01,3.83
1983-12-01,3.79
1984-12-01,3.95
1985-12-01,3.8
1986-12-01,1.1
1987-12-01,4.43
1988-12-01,4.42
1989-12-01,4.65
1990-12-01,6.11
1991-12-01,3.06
1992-12-01,2.9
1993-12-01,2.75
1994-12-01,2.67
1995-12-01,2.54
1996-12-01,3.32
1997-12-01,1.7
1998-12-01,1.61
1999-12-01,2.68
2000-12-01,3.39
2001-12-01,1.55
2002-12-01,2.38
2003-12-01,1.88
2004-12-01,3.26
2005-12-01,3.42
2006-12-01,2.54
2007-12-01,4.08
2008-12-01,0.09
2009-12-01,2.72
2010-12-01,1.5
2011-12-01,2.96
2012-12-01,1.74
2013-12-01,1.5
2014-12-01,0.76
2015-12-01,0.73
2016-12-01,2.07
2017-12-01,2.11
2018-12-01,1.91
2019-12-01,2.29
2020-12-01,1.36
2021-12-01,7.04
2022-12-01,6.45
2023-10-01,3
