Macrotrends Data Download

National Debt Growth by Year

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.



ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, value
1967-12-01,4.66
1968-12-01,3.88
1969-12-01,2.85
1970-12-01,5.68
1971-12-01,8.99
1972-12-01,5.74
1973-12-01,4.59
1974-12-01,5.03
1975-12-01,17.05
1976-12-01,13.33
1977-12-01,10.01
1978-12-01,9.77
1979-12-01,7.08
1980-12-01,10.07
1981-12-01,10.59
1982-12-01,16.36
1983-12-01,17.85
1984-12-01,17.88
1985-12-01,17.02
1986-12-01,13.82
1987-12-01,9.79
1988-12-01,10.39
1989-12-01,10.01
1990-12-01,13.95
1991-12-01,12.98
1992-12-01,9.87
1993-12-01,8.59
1994-12-01,5.83
1995-12-01,3.93
1996-12-01,6.71
1997-12-01,3.37
1998-12-01,2.03
1999-12-01,2.88
2000-12-01,-1.97
2001-12-01,4.97
2002-12-01,7.78
2003-12-01,9.25
2004-12-01,8.55
2005-12-01,7.56
2006-12-01,6.24
2007-12-01,6.32
2008-12-01,15.93
2009-12-01,15.06
2010-12-01,13.92
2011-12-01,8.54
2012-12-01,7.95
2013-12-01,4.4
2014-12-01,5.74
2015-12-01,4.3
2016-12-01,5.57
2017-12-01,2.58
2018-12-01,7.23
2019-12-01,5.59
2020-12-01,19.6
2021-12-01,6.74
2022-12-01,6.09
2023-06-01,2.9
