Macrotrends Data Download

Real Retail Sales Historical Chart

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.



ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, value
1992-01-01,118651.000
1992-02-01,118480.000
1992-03-01,117700.000
1992-04-01,118156.000
1992-05-01,118548.000
1992-06-01,118542.000
1992-07-01,119044.000
1992-08-01,119176.000
1992-09-01,120057.000
1992-10-01,120413.000
1992-11-01,120340.000
1992-12-01,121648.000
1993-01-01,122625.000
1993-02-01,121414.000
1993-03-01,120241.000
1993-04-01,122913.000
1993-05-01,123735.000
1993-06-01,123463.000
1993-07-01,125082.000
1993-08-01,124798.000
1993-09-01,125361.000
1993-10-01,125607.000
1993-11-01,126539.000
1993-12-01,127409.000
1994-01-01,126550.000
1994-02-01,128203.000
1994-03-01,130237.000
1994-04-01,130190.000
1994-05-01,129443.000
1994-06-01,130581.000
1994-07-01,130555.000
1994-08-01,131653.000
1994-09-01,132461.000
1994-10-01,133582.000
1994-11-01,133332.000
1994-12-01,133712.000
1995-01-01,133936.000
1995-02-01,131477.000
1995-03-01,132438.000
1995-04-01,132432.000
1995-05-01,133456.000
1995-06-01,134843.000
1995-07-01,134286.000
1995-08-01,135069.000
1995-09-01,135210.000
1995-10-01,134317.000
1995-11-01,135761.000
1995-12-01,136712.000
1996-01-01,134906.000
1996-02-01,136779.000
1996-03-01,137550.000
1996-04-01,137525.000
1996-05-01,138299.000
1996-06-01,137886.000
1996-07-01,137791.000
1996-08-01,137632.000
1996-09-01,139034.000
1996-10-01,139735.000
1996-11-01,139233.000
1996-12-01,139529.000
1997-01-01,140201.000
1997-02-01,141153.000
1997-03-01,141528.000
1997-04-01,140472.000
1997-05-01,139418.000
1997-06-01,141109.000
1997-07-01,142583.000
1997-08-01,142605.000
1997-09-01,142873.000
1997-10-01,142313.000
1997-11-01,142511.000
1997-12-01,142881.000
1998-01-01,142955.000
1998-02-01,143015.000
1998-03-01,143878.000
1998-04-01,145491.000
1998-05-01,145803.000
1998-06-01,146788.000
1998-07-01,145472.000
1998-08-01,144663.000
1998-09-01,145902.000
1998-10-01,147986.000
1998-11-01,148867.000
1998-12-01,149957.000
1999-01-01,149889.000
1999-02-01,151500.000
1999-03-01,152104.000
1999-04-01,152186.000
1999-05-01,153455.000
1999-06-01,153885.000
1999-07-01,154443.000
1999-08-01,155733.000
1999-09-01,155731.000
