Macrotrends Data Download,
,
U.S. Population Growth Rate 1950-2023,
Original Source: United Nations - World Population Prospects,
,
DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY,
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.,
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE,
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.,
,
,
ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".,
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.,
,
,
date, Annual Growth Rate
1951/12/31,1.56
1952/12/31,1.56
1953/12/31,1.64
1954/12/31,1.77
1955/12/31,1.85
1956/12/31,1.82
1957/12/31,1.76
1958/12/31,1.92
1959/12/31,1.87
1960/12/31,1.65
1961/12/31,1.65
1962/12/31,1.58
1963/12/31,1.5
1964/12/31,1.42
1965/12/31,1.3
1966/12/31,1.12
1967/12/31,1.02
1968/12/31,1.01
1969/12/31,1.08
1970/12/31,1.25
1971/12/31,1.29
1972/12/31,1.15
1973/12/31,1.01
1974/12/31,0.95
1975/12/31,0.95
1976/12/31,0.94
1977/12/31,1.02
1978/12/31,1.13
1979/12/31,1.18
1980/12/31,1.21
1981/12/31,1.13
1982/12/31,1.04
1983/12/31,1.05
1984/12/31,1.03
1985/12/31,1.02
1986/12/31,1.01
1987/12/31,0.99
1988/12/31,1.02
1989/12/31,1.1
1990/12/31,1.28
1991/12/31,1.4
1992/12/31,1.44
1993/12/31,1.41
1994/12/31,1.35
1995/12/31,1.29
1996/12/31,1.25
1997/12/31,1.27
1998/12/31,1.26
1999/12/31,1.21
2000/12/31,1.15
2001/12/31,1.09
2002/12/31,1.01
2003/12/31,0.96
2004/12/31,0.97
2005/12/31,0.98
2006/12/31,0.98
2007/12/31,1
2008/12/31,0.97
2009/12/31,0.92
2010/12/31,0.87
2011/12/31,0.87
2012/12/31,0.88
2013/12/31,0.86
2014/12/31,0.83
2015/12/31,0.8
2016/12/31,0.8
2017/12/31,0.79
2018/12/31,0.71
2019/12/31,0.66
2020/12/31,0.49
2021/12/31,0.31
2022/12/31,0.38
2023/12/31,0.5
2024/12/31,0.53
2025/12/31,0.52
2026/12/31,0.51
2027/12/31,0.5
2028/12/31,0.49
2029/12/31,0.48
2030/12/31,0.48
2031/12/31,0.47
2032/12/31,0.45
2033/12/31,0.44
2034/12/31,0.43
2035/12/31,0.41
2036/12/31,0.4
2037/12/31,0.38
2038/12/31,0.36
2039/12/31,0.35
2040/12/31,0.33
2041/12/31,0.31
2042/12/31,0.29
2043/12/31,0.28
2044/12/31,0.26
2045/12/31,0.24
2046/12/31,0.23
2047/12/31,0.21
2048/12/31,0.2
2049/12/31,0.18
2050/12/31,0.17
2051/12/31,0.16
2052/12/31,0.15
2053/12/31,0.15
2054/12/31,0.14
2055/12/31,0.14
2056/12/31,0.14
2057/12/31,0.14
2058/12/31,0.14
2059/12/31,0.14
2060/12/31,0.15
2061/12/31,0.15
2062/12/31,0.15
2063/12/31,0.15
2064/12/31,0.16
2065/12/31,0.16
2066/12/31,0.16
2067/12/31,0.16
2068/12/31,0.16
2069/12/31,0.15
2070/12/31,0.15
2071/12/31,0.15
2072/12/31,0.14
2073/12/31,0.13
2074/12/31,0.13
2075/12/31,0.12
2076/12/31,0.11
2077/12/31,0.1
2078/12/31,0.09
2079/12/31,0.08
2080/12/31,0.07
2081/12/31,0.07
2082/12/31,0.06
2083/12/31,0.05
2084/12/31,0.05
2085/12/31,0.04
2086/12/31,0.04
2087/12/31,0.04
2088/12/31,0.03
2089/12/31,0.03
2090/12/31,0.03
2091/12/31,0.03
2092/12/31,0.03
2093/12/31,0.03
2094/12/31,0.03
2095/12/31,0.03
2096/12/31,0.03
2097/12/31,0.03
2098/12/31,0.03
2099/12/31,0.03
2100/12/31,0.02
