Macrotrends Data Download

U.S. National Unemployment Rate

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.



ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, value
1948-01-01,3.400
1948-02-01,3.800
1948-03-01,4.000
1948-04-01,3.900
1948-05-01,3.500
1948-06-01,3.600
1948-07-01,3.600
1948-08-01,3.900
1948-09-01,3.800
1948-10-01,3.700
1948-11-01,3.800
1948-12-01,4.000
1949-01-01,4.300
1949-02-01,4.700
1949-03-01,5.000
1949-04-01,5.300
1949-05-01,6.100
1949-06-01,6.200
1949-07-01,6.700
1949-08-01,6.800
1949-09-01,6.600
1949-10-01,7.900
1949-11-01,6.400
1949-12-01,6.600
1950-01-01,6.500
1950-02-01,6.400
1950-03-01,6.300
1950-04-01,5.800
1950-05-01,5.500
1950-06-01,5.400
1950-07-01,5.000
1950-08-01,4.500
1950-09-01,4.400
1950-10-01,4.200
1950-11-01,4.200
1950-12-01,4.300
1951-01-01,3.700
1951-02-01,3.400
1951-03-01,3.400
1951-04-01,3.100
1951-05-01,3.000
1951-06-01,3.200
1951-07-01,3.100
1951-08-01,3.100
1951-09-01,3.300
1951-10-01,3.500
1951-11-01,3.500
1951-12-01,3.100
1952-01-01,3.200
1952-02-01,3.100
1952-03-01,2.900
1952-04-01,2.900
1952-05-01,3.000
1952-06-01,3.000
1952-07-01,3.200
1952-08-01,3.400
1952-09-01,3.100
1952-10-01,3.000
1952-11-01,2.800
1952-12-01,2.700
1953-01-01,2.900
1953-02-01,2.600
1953-03-01,2.600
1953-04-01,2.700
1953-05-01,2.500
1953-06-01,2.500
1953-07-01,2.600
1953-08-01,2.700
1953-09-01,2.900
1953-10-01,3.100
1953-11-01,3.500
1953-12-01,4.500
1954-01-01,4.900
1954-02-01,5.200
1954-03-01,5.700
1954-04-01,5.900
1954-05-01,5.900
1954-06-01,5.600
1954-07-01,5.800
1954-08-01,6.000
1954-09-01,6.100
1954-10-01,5.700
1954-11-01,5.300
1954-12-01,5.000
1955-01-01,4.900
1955-02-01,4.700
1955-03-01,4.600
1955-04-01,4.700
1955-05-01,4.300
1955-06-01,4.200
1955-07-01,4.000
1955-08-01,4.200
1955-09-01,4.100
1955-10-01,4.300
1955-11-01,4.200
1955-12-01,4.200
1956-01-01,4.000
1956-02-01,3.900
1956-03-01,4.200
1956-04-01,4.000
1956-05-01,4.300
1956-06-01,4.300
1956-07-01,4.400
1956-08-01,4.100
1956-09-01,3.900
1956-10-01,3.900
1956-11-01,4.300
1956-12-01,4.200
1957-01-01,4.200
1957-02-01,3.900
1957-03-01,3.700
1957-04-01,3.900
1957-05-01,4.100
1957-06-01,4.300
1957-07-01,4.200
1957-08-01,4.100
1957-09-01,4.400
1957-10-01,4.500
1957-11-01,5.100
1957-12-01,5.200
1958-01-01,5.800
1958-02-01,6.400
1958-03-01,6.700
1958-04-01,7.400
1958-05-01,7.400
1958-06-01,7.300
1958-07-01,7.500
1958-08-01,7.400
1958-09-01,7.100
1958-10-01,6.700
1958-11-01,6.200
1958-12-01,6.200
1959-01-01,6.000
1959-02-01,5.900
1959-03-01,5.600
1959-04-01,5.200
1959-05-01,5.100
1959-06-01,5.000
1959-07-01,5.100
1959-08-01,5.200
1959-09-01,5.500
1959-10-01,5.700
1959-11-01,5.800
1959-12-01,5.300
1960-01-01,5.200
1960-02-01,4.800
1960-03-01,5.400
1960-04-01,5.200
1960-05-01,5.100
1960-06-01,5.400
1960-07-01,5.500
1960-08-01,5.600
1960-09-01,5.500
1960-10-01,6.100
1960-11-01,6.100
1960-12-01,6.600
1961-01-01,6.600
1961-02-01,6.900
1961-03-01,6.900
1961-04-01,7.000
1961-05-01,7.100
1961-06-01,6.900
1961-07-01,7.000
1961-08-01,6.600
1961-09-01,6.700
1961-10-01,6.500
1961-11-01,6.100
1961-12-01,6.000
1962-01-01,5.800
1962-02-01,5.500
1962-03-01,5.600
1962-04-01,5.600
1962-05-01,5.500
1962-06-01,5.500
1962-07-01,5.400
1962-08-01,5.700
1962-09-01,5.600
1962-10-01,5.400
1962-11-01,5.700
1962-12-01,5.500
1963-01-01,5.700
1963-02-01,5.900
1963-03-01,5.700
1963-04-01,5.700
1963-05-01,5.900
1963-06-01,5.600
1963-07-01,5.600
1963-08-01,5.400
1963-09-01,5.500
1963-10-01,5.500
1963-11-01,5.700
1963-12-01,5.500
1964-01-01,5.600
1964-02-01,5.400
1964-03-01,5.400
1964-04-01,5.300
1964-05-01,5.100
1964-06-01,5.200
1964-07-01,4.900
1964-08-01,5.000
1964-09-01,5.100
1964-10-01,5.100
1964-11-01,4.800
1964-12-01,5.000
1965-01-01,4.900
1965-02-01,5.100
1965-03-01,4.700
1965-04-01,4.800
1965-05-01,4.600
1965-06-01,4.600
1965-07-01,4.400
1965-08-01,4.400
1965-09-01,4.300
1965-10-01,4.200
1965-11-01,4.100
1965-12-01,4.000
1966-01-01,4.000
1966-02-01,3.800
1966-03-01,3.800
1966-04-01,3.800
1966-05-01,3.900
1966-06-01,3.800
1966-07-01,3.800
1966-08-01,3.800
1966-09-01,3.700
1966-10-01,3.700
1966-11-01,3.600
1966-12-01,3.800
1967-01-01,3.900
1967-02-01,3.800
1967-03-01,3.800
1967-04-01,3.800
1967-05-01,3.800
1967-06-01,3.900
1967-07-01,3.800
1967-08-01,3.800
1967-09-01,3.800
1967-10-01,4.000
1967-11-01,3.900
1967-12-01,3.800
1968-01-01,3.700
1968-02-01,3.800
1968-03-01,3.700
1968-04-01,3.500
1968-05-01,3.500
1968-06-01,3.700
1968-07-01,3.700
1968-08-01,3.500
1968-09-01,3.400
1968-10-01,3.400
1968-11-01,3.400
1968-12-01,3.400
1969-01-01,3.400
1969-02-01,3.400
1969-03-01,3.400
1969-04-01,3.400
1969-05-01,3.400
1969-06-01,3.500
1969-07-01,3.500
1969-08-01,3.500
1969-09-01,3.700
1969-10-01,3.700
1969-11-01,3.500
1969-12-01,3.500
1970-01-01,3.900
1970-02-01,4.200
1970-03-01,4.400
1970-04-01,4.600
1970-05-01,4.800
1970-06-01,4.900
1970-07-01,5.000
1970-08-01,5.100
1970-09-01,5.400
1970-10-01,5.500
1970-11-01,5.900
1970-12-01,6.100
1971-01-01,5.900
1971-02-01,5.900
1971-03-01,6.000
1971-04-01,5.900
1971-05-01,5.900
1971-06-01,5.900
1971-07-01,6.000
1971-08-01,6.100
1971-09-01,6.000
1971-10-01,5.800
1971-11-01,6.000
1971-12-01,6.000
1972-01-01,5.800
1972-02-01,5.700
1972-03-01,5.800
1972-04-01,5.700
1972-05-01,5.700
1972-06-01,5.700
1972-07-01,5.600
1972-08-01,5.600
1972-09-01,5.500
1972-10-01,5.600
1972-11-01,5.300
1972-12-01,5.200
1973-01-01,4.900
1973-02-01,5.000
1973-03-01,4.900
1973-04-01,5.000
1973-05-01,4.900
1973-06-01,4.900
1973-07-01,4.800
1973-08-01,4.800
1973-09-01,4.800
1973-10-01,4.600
1973-11-01,4.800
1973-12-01,4.900
1974-01-01,5.100
1974-02-01,5.200
1974-03-01,5.100
1974-04-01,5.100
1974-05-01,5.100
1974-06-01,5.400
1974-07-01,5.500
1974-08-01,5.500
1974-09-01,5.900
1974-10-01,6.000
1974-11-01,6.600
1974-12-01,7.200
1975-01-01,8.100
1975-02-01,8.100
1975-03-01,8.600
1975-04-01,8.800
1975-05-01,9.000
1975-06-01,8.800
1975-07-01,8.600
1975-08-01,8.400
1975-09-01,8.400
1975-10-01,8.400
1975-11-01,8.300
1975-12-01,8.200
1976-01-01,7.900
1976-02-01,7.700
1976-03-01,7.600
1976-04-01,7.700
1976-05-01,7.400
1976-06-01,7.600
1976-07-01,7.800
1976-08-01,7.800
1976-09-01,7.600
1976-10-01,7.700
1976-11-01,7.800
1976-12-01,7.800
1977-01-01,7.500
1977-02-01,7.600
1977-03-01,7.400
1977-04-01,7.200
1977-05-01,7.000
1977-06-01,7.200
1977-07-01,6.900
1977-08-01,7.000
1977-09-01,6.800
1977-10-01,6.800
1977-11-01,6.800
1977-12-01,6.400
1978-01-01,6.400
1978-02-01,6.300
1978-03-01,6.300
1978-04-01,6.100
1978-05-01,6.000
1978-06-01,5.900
1978-07-01,6.200
1978-08-01,5.900
1978-09-01,6.000
1978-10-01,5.800
1978-11-01,5.900
1978-12-01,6.000
1979-01-01,5.900
1979-02-01,5.900
1979-03-01,5.800
1979-04-01,5.800
1979-05-01,5.600
1979-06-01,5.700
1979-07-01,5.700
1979-08-01,6.000
1979-09-01,5.900
1979-10-01,6.000
1979-11-01,5.900
1979-12-01,6.000
1980-01-01,6.300
1980-02-01,6.300
1980-03-01,6.300
1980-04-01,6.900
1980-05-01,7.500
1980-06-01,7.600
1980-07-01,7.800
1980-08-01,7.700
1980-09-01,7.500
1980-10-01,7.500
1980-11-01,7.500
1980-12-01,7.200
1981-01-01,7.500
1981-02-01,7.400
1981-03-01,7.400
1981-04-01,7.200
1981-05-01,7.500
1981-06-01,7.500
1981-07-01,7.200
1981-08-01,7.400
1981-09-01,7.600
1981-10-01,7.900
1981-11-01,8.300
1981-12-01,8.500
1982-01-01,8.600
1982-02-01,8.900
1982-03-01,9.000
1982-04-01,9.300
1982-05-01,9.400
1982-06-01,9.600
1982-07-01,9.800
1982-08-01,9.800
1982-09-01,10.100
1982-10-01,10.400
1982-11-01,10.800
1982-12-01,10.800
1983-01-01,10.400
1983-02-01,10.400
1983-03-01,10.300
1983-04-01,10.200
1983-05-01,10.100
1983-06-01,10.100
1983-07-01,9.400
1983-08-01,9.500
1983-09-01,9.200
1983-10-01,8.800
1983-11-01,8.500
1983-12-01,8.300
1984-01-01,8.000
1984-02-01,7.800
1984-03-01,7.800
1984-04-01,7.700
1984-05-01,7.400
1984-06-01,7.200
1984-07-01,7.500
1984-08-01,7.500
1984-09-01,7.300
1984-10-01,7.400
1984-11-01,7.200
1984-12-01,7.300
1985-01-01,7.300
1985-02-01,7.200
1985-03-01,7.200
1985-04-01,7.300
1985-05-01,7.200
1985-06-01,7.400
1985-07-01,7.400
1985-08-01,7.100
1985-09-01,7.100
1985-10-01,7.100
1985-11-01,7.000
1985-12-01,7.000
1986-01-01,6.700
1986-02-01,7.200
1986-03-01,7.200
1986-04-01,7.100
1986-05-01,7.200
1986-06-01,7.200
1986-07-01,7.000
1986-08-01,6.900
1986-09-01,7.000
1986-10-01,7.000
1986-11-01,6.900
1986-12-01,6.600
1987-01-01,6.600
1987-02-01,6.600
1987-03-01,6.600
1987-04-01,6.300
1987-05-01,6.300
1987-06-01,6.200
1987-07-01,6.100
1987-08-01,6.000
1987-09-01,5.900
1987-10-01,6.000
1987-11-01,5.800
1987-12-01,5.700
1988-01-01,5.700
1988-02-01,5.700
1988-03-01,5.700
1988-04-01,5.400
1988-05-01,5.600
1988-06-01,5.400
1988-07-01,5.400
1988-08-01,5.600
1988-09-01,5.400
1988-10-01,5.400
1988-11-01,5.300
1988-12-01,5.300
1989-01-01,5.400
1989-02-01,5.200
1989-03-01,5.000
1989-04-01,5.200
1989-05-01,5.200
1989-06-01,5.300
1989-07-01,5.200
1989-08-01,5.200
1989-09-01,5.300
1989-10-01,5.300
1989-11-01,5.400
1989-12-01,5.400
1990-01-01,5.400
1990-02-01,5.300
1990-03-01,5.200
1990-04-01,5.400
1990-05-01,5.400
1990-06-01,5.200
1990-07-01,5.500
1990-08-01,5.700
1990-09-01,5.900
1990-10-01,5.900
1990-11-01,6.200
1990-12-01,6.300
1991-01-01,6.400
1991-02-01,6.600
1991-03-01,6.800
1991-04-01,6.700
1991-05-01,6.900
1991-06-01,6.900
1991-07-01,6.800
1991-08-01,6.900
1991-09-01,6.900
1991-10-01,7.000
1991-11-01,7.000
1991-12-01,7.300
1992-01-01,7.300
1992-02-01,7.400
1992-03-01,7.400
1992-04-01,7.400
1992-05-01,7.600
1992-06-01,7.800
1992-07-01,7.700
1992-08-01,7.600
1992-09-01,7.600
1992-10-01,7.300
1992-11-01,7.400
1992-12-01,7.400
1993-01-01,7.300
1993-02-01,7.100
1993-03-01,7.000
1993-04-01,7.100
1993-05-01,7.100
1993-06-01,7.000
1993-07-01,6.900
1993-08-01,6.800
1993-09-01,6.700
1993-10-01,6.800
1993-11-01,6.600
1993-12-01,6.500
1994-01-01,6.600
1994-02-01,6.600
1994-03-01,6.500
1994-04-01,6.400
1994-05-01,6.100
1994-06-01,6.100
1994-07-01,6.100
1994-08-01,6.000
1994-09-01,5.900
1994-10-01,5.800
1994-11-01,5.600
1994-12-01,5.500
1995-01-01,5.600
1995-02-01,5.400
1995-03-01,5.400
1995-04-01,5.800
1995-05-01,5.600
1995-06-01,5.600
1995-07-01,5.700
1995-08-01,5.700
1995-09-01,5.600
1995-10-01,5.500
1995-11-01,5.600
1995-12-01,5.600
1996-01-01,5.600
1996-02-01,5.500
1996-03-01,5.500
1996-04-01,5.600
1996-05-01,5.600
1996-06-01,5.300
1996-07-01,5.500
1996-08-01,5.100
1996-09-01,5.200
1996-10-01,5.200
1996-11-01,5.400
1996-12-01,5.400
1997-01-01,5.300
1997-02-01,5.200
1997-03-01,5.200
1997-04-01,5.100
1997-05-01,4.900
1997-06-01,5.000
1997-07-01,4.900
1997-08-01,4.800
1997-09-01,4.900
1997-10-01,4.700
1997-11-01,4.600
1997-12-01,4.700
1998-01-01,4.600
1998-02-01,4.600
1998-03-01,4.700
1998-04-01,4.300
1998-05-01,4.400
1998-06-01,4.500
1998-07-01,4.500
1998-08-01,4.500
1998-09-01,4.600
1998-10-01,4.500
1998-11-01,4.400
1998-12-01,4.400
1999-01-01,4.300
1999-02-01,4.400
1999-03-01,4.200
1999-04-01,4.300
1999-05-01,4.200
1999-06-01,4.300
1999-07-01,4.300
1999-08-01,4.200
1999-09-01,4.200
1999-10-01,4.100
1999-11-01,4.100
1999-12-01,4.000
2000-01-01,4.000
2000-02-01,4.100
2000-03-01,4.000
2000-04-01,3.800
2000-05-01,4.000
2000-06-01,4.000
2000-07-01,4.000
2000-08-01,4.100
2000-09-01,3.900
2000-10-01,3.900
2000-11-01,3.900
2000-12-01,3.900
2001-01-01,4.200
2001-02-01,4.200
2001-03-01,4.300
2001-04-01,4.400
2001-05-01,4.300
2001-06-01,4.500
2001-07-01,4.600
2001-08-01,4.900
2001-09-01,5.000
2001-10-01,5.300
2001-11-01,5.500
2001-12-01,5.700
2002-01-01,5.700
2002-02-01,5.700
2002-03-01,5.700
2002-04-01,5.900
2002-05-01,5.800
2002-06-01,5.800
2002-07-01,5.800
2002-08-01,5.700
