capacity-utilization-rate-historical-chart
date,value
1967-01,89.39
1967-02,87.975
1967-03,87.084
1967-04,87.509
1967-05,86.357
1967-06,85.96
1967-07,85.383
1967-08,86.634
1967-09,86.112
1967-10,86.433
1967-11,87.286
1967-12,87.842
1968-01,87.384
1968-02,87.349
1968-03,87.275
1968-04,87.057
1968-05,87.688
1968-06,87.666
1968-07,87.19
1968-08,87.094
1968-09,87.086
1968-10,86.922
1968-11,87.709
1968-12,87.649
1969-01,87.852
1969-02,88.096
1969-03,88.468
1969-04,87.827
1969-05,87.183
1969-06,87.722
1969-07,87.873
1969-08,87.764
1969-09,87.436
1969-10,87.155
1969-11,86.032
1969-12,85.502
1970-01,83.641
1970-02,83.325
1970-03,82.956
1970-04,82.485
1970-05,82.133
1970-06,81.613
1970-07,81.561
1970-08,81.165
1970-09,80.357
1970-10,78.509
1970-11,77.795
1970-12,79.339
1971-01,79.726
1971-02,79.371
1971-03,79.083
1971-04,79.325
1971-05,79.526
1971-06,79.657
1971-07,79.226
1971-08,78.568
1971-09,79.644
1971-10,80.039
1971-11,80.178
1971-12,80.902
1972-01,82.626
1972-02,83.285
1972-03,83.664
1972-04,84.278
1972-05,84.081
1972-06,84.089
1972-07,83.784
1972-08,84.713
1972-09,85.131
1972-10,85.983
1972-11,86.738
1972-12,87.448
1973-01,87.8
1973-02,88.785
1973-03,88.528
1973-04,88.102
1973-05,88.383
1973-06,88.179
1973-07,88.207
1973-08,87.783
1973-09,88.18
1973-10,88.6
1973-11,88.727
1973-12,88.202
1974-01,87.354
1974-02,86.844
1974-03,86.603
1974-04,86.124
1974-05,86.593
1974-06,86.224
1974-07,86.18
1974-08,85.085
1974-09,84.923
1974-10,84.491
1974-11,81.558
1974-12,78.501
1975-01,77.287
1975-02,75.399
1975-03,74.442
1975-04,74.461
1975-05,74.135
1975-06,74.495
1975-07,75.132
1975-08,75.745
1975-09,76.586
1975-10,76.779
1975-11,76.746
1975-12,77.646
1976-01,78.528
1976-02,79.162
1976-03,79.149
1976-04,79.384
1976-05,79.53
1976-06,79.452
1976-07,79.694
1976-08,80.071
1976-09,80.14
1976-10,79.939
1976-11,80.973
1976-12,81.638
1977-01,80.897
1977-02,81.989
1977-03,82.806
1977-04,83.396
1977-05,83.831
1977-06,84.237
1977-07,84.119
1977-08,83.975
1977-09,84.088
1977-10,83.974
1977-11,83.892
1977-12,83.777
1978-01,82.344
1978-02,82.553
1978-03,83.904
1978-04,85.323
1978-05,85.5
1978-06,85.806
1978-07,85.492
1978-08,85.613
1978-09,85.584
1978-10,86.013
1978-11,86.432
1978-12,86.642
1979-01,85.928
1979-02,86.129
1979-03,86.162
1979-04,84.93
1979-05,85.457
1979-06,85.245
1979-07,84.906
1979-08,84.16
1979-09,83.962
1979-10,84.362
1979-11,84.05
1979-12,83.942
1980-01,84.215
1980-02,84.088
1980-03,83.572
1980-04,81.769
1980-05,79.606
1980-06,78.439
1980-07,77.72
1980-08,77.811
1980-09,78.941
1980-10,79.77
1980-11,80.916
1980-12,81.28
1981-01,80.575
1981-02,80.047
1981-03,80.248
1981-04,79.695
1981-05,79.949
