debt-to-gdp-ratio-historical-chart
date,value
1966-03,40.34
1966-04,39.268
1966-05,39.268
1966-06,39.268
1966-07,39.621
1966-08,39.621
1966-09,39.621
1966-10,39.52
1966-11,39.52
1966-12,39.52
1967-01,39.204
1967-02,39.204
1967-03,39.204
1967-04,38.033
1967-05,38.033
1967-06,38.033
1967-07,38.821
1967-08,38.821
1967-09,38.821
1967-10,39.102
1967-11,39.102
1967-12,39.102
1968-01,38.43
1968-02,38.43
1968-03,38.43
1968-04,36.964
1968-05,36.964
1968-06,36.964
1968-07,37.309
1968-08,37.309
1968-09,37.309
1968-10,36.985
1968-11,36.985
1968-12,36.985
1969-01,36.196
1969-02,36.196
1969-03,36.196
1969-04,34.974
1969-05,34.974
1969-06,34.974
1969-07,35.019
1969-08,35.019
1969-09,35.019
1969-10,35.47
1969-11,35.47
1969-12,35.47
1970-01,35.389
1970-02,35.389
1970-03,35.389
1970-04,34.673
1970-05,34.673
1970-06,34.673
1970-07,34.867
1970-08,34.867
1970-09,34.867
1970-10,35.748
1970-11,35.748
1970-12,35.748
1971-01,34.503
1971-02,34.503
1971-03,34.503
1971-04,34.361
1971-05,34.361
1971-06,34.361
1971-07,35.007
1971-08,35.007
1971-09,35.007
1971-10,35.632
1971-11,35.632
1971-12,35.632
1972-01,34.726
1972-02,34.726
1972-03,34.726
1972-04,33.674
1972-05,33.674
1972-06,33.674
1972-07,33.624
1972-08,33.624
1972-09,33.624
1972-10,33.748
1972-11,33.748
1972-12,33.748
1973-01,33.293
1973-02,33.293
1973-03,33.293
1973-04,32.345
1973-05,32.345
1973-06,32.345
1973-07,32.125
1973-08,32.125
1973-09,32.125
1973-10,31.774
1973-11,31.774
1973-12,31.774
1974-01,31.764
1974-02,31.764
1974-03,31.764
1974-04,30.995
1974-05,30.995
1974-06,30.995
1974-07,30.863
1974-08,30.863
1974-09,30.863
1974-10,30.798
1974-11,30.798
1974-12,30.798
1975-01,31.536
1975-02,31.536
1975-03,31.536
1975-04,32.278
1975-05,32.278
1975-06,32.278
1975-07,32.38
1975-08,32.38
1975-09,32.38
1975-10,32.73
1975-11,32.73
1975-12,32.73
1976-01,32.985
1976-02,32.985
1976-03,32.985
1976-04,33.495
1976-05,33.495
1976-06,33.495
1976-07,33.643
1976-08,33.643
1976-09,33.643
1976-10,33.788
1976-11,33.788
1976-12,33.788
1977-01,33.651
1977-02,33.651
1977-03,33.651
1977-04,32.804
1977-05,32.804
1977-06,32.804
1977-07,32.988
1977-08,32.988
1977-09,32.988
1977-10,33.219
1977-11,33.219
1977-12,33.219
1978-01,33.501
1978-02,33.501
1978-03,33.501
1978-04,32.124
1978-05,32.124
1978-06,32.124
1978-07,32.214
1978-08,32.214
1978-09,32.214
1978-10,31.862
1978-11,31.862
1978-12,31.862
1979-01,31.536
1979-02,31.536
1979-03,31.536
1979-04,31.063
1979-05,31.063
1979-06,31.063
1979-07,30.984
1979-08,30.984
1979-09,30.984
1979-10,31.026
1979-11,31.026
1979-12,31.026
1980-01,30.95
1980-02,30.95
1980-03,30.95
1980-04,31.373
1980-05,31.373
1980-06,31.373
1980-07,31.777
1980-08,31.777
1980-09,31.777
1980-10,31.157
1980-11,31.157
1980-12,31.157
1981-01,30.873
1981-02,30.873
1981-03,30.873
1981-04,30.709
1981-05,30.709
1981-06,30.709
1981-07,30.603
1981-08,30.603
1981-09,30.603
1981-10,31.356
1981-11,31.356
1981-12,31.356
1982-01,32.413
1982-02,32.413
1982-03,32.413
1982-04,32.402
1982-05,32.402
1982-06,32.402
1982-07,33.925
1982-08,33.925
1982-09,33.925
1982-10,35.182
1982-11,35.182
1982-12,35.182
1983-01,35.829
1983-02,35.829
1983-03,35.829
1983-04,36.872
1983-05,36.872
1983-06,36.872
1983-07,37.331
1983-08,37.331
1983-09,37.331
1983-10,37.176
1983-11,37.176
1983-12,37.176
1984-01,37.454
1984-02,37.454
1984-03,37.454
1984-04,37.727
1984-05,37.727
1984-06,37.727
1984-07,38.496
1984-08,38.496
1984-09,38.496
1984-10,40.085
1984-11,40.085
1984-12,40.085
1985-01,40.441
1985-02,40.441
1985-03,40.441
1985-04,41.32
1985-05,41.32
1985-06,41.32
1985-07,41.559
1985-08,41.559
1985-09,41.559
1985-10,43.787
1985-11,43.787
1985-12,43.787
1986-01,44.074
1986-02,44.074
1986-03,44.074
1986-04,45.307
1986-05,45.307
1986-06,45.307
1986-07,46.125
1986-08,46.125
1986-09,46.125
1986-10,47.553
1986-11,47.553
1986-12,47.553
1987-01,47.578
1987-02,47.578
1987-03,47.578
1987-04,48.049
1987-05,48.049
1987-06,48.049
1987-07,48.117
1987-08,48.117
1987-09,48.117
1987-10,48.557
1987-11,48.557
1987-12,48.557
1988-01,49.032
1988-02,49.032
1988-03,49.032
1988-04,49.087
1988-05,49.087
1988-06,49.087
1988-07,49.257
1988-08,49.257
1988-09,49.257
1988-10,49.715
1988-11,49.715
1988-12,49.715
1989-01,49.733
1989-02,49.733
1989-03,49.733
1989-04,49.888
1989-05,49.888
1989-06,49.888
1989-07,50.171
1989-08,50.171
1989-09,50.171
1989-10,51.381
1989-11,51.381
1989-12,51.381
1990-01,51.969
1990-02,51.969
1990-03,51.969
1990-04,52.747
1990-05,52.747
1990-06,52.747
1990-07,53.753
1990-08,53.753
1990-09,53.753
1990-10,56.036
1990-11,56.036
1990-12,56.036
1991-01,57.417
1991-02,57.417
1991-03,57.417
1991-04,57.746
1991-05,57.746
1991-06,57.746
1991-07,59.061
1991-08,59.061
1991-09,59.061
1991-10,60.686
1991-11,60.686
1991-12,60.686
1992-01,60.997
1992-02,60.997
1992-03,60.997
1992-04,61.579
1992-05,61.579
1992-06,61.579
1992-07,61.898
1992-08,61.898
1992-09,61.898
1992-10,62.523
1992-11,62.523
1992-12,62.523
1993-01,62.867
1993-02,62.867
1993-03,62.867
1993-04,63.915
1993-05,63.915
1993-06,63.915
1993-07,64.101
1993-08,64.101
1993-09,64.101
1993-10,64.669
1993-11,64.669
1993-12,64.669
1994-01,64.307
1994-02,64.307
1994-03,64.307
1994-04,64.107
1994-05,64.107
1994-06,64.107
1994-07,64.012
1994-08,64.012
1994-09,64.012
1994-10,64.386
1994-11,64.386
1994-12,64.386
1995-01,64.663
1995-02,64.663
1995-03,64.663
1995-04,65.313
1995-05,65.313
1995-06,65.313
1995-07,64.739
1995-08,64.739
1995-09,64.739
1995-10,64.183
1995-11,64.183
1995-12,64.183
1996-01,65.042
1996-02,65.042
1996-03,65.042
1996-04,64.25
1996-05,64.25
1996-06,64.25
1996-07,64.255
1996-08,64.255
1996-09,64.255
1996-10,64.447
1996-11,64.447
1996-12,64.447
1997-01,64.344
1997-02,64.344
1997-03,64.344
1997-04,63.109
1997-05,63.109
1997-06,63.109
1997-07,62.487
1997-08,62.487
1997-09,62.487
1997-10,62.77
1997-11,62.77
1997-12,62.77
1998-01,62.51
1998-02,62.51
1998-03,62.51
1998-04,61.852
1998-05,61.852
1998-06,61.852
1998-07,60.587
1998-08,60.587
1998-09,60.587
1998-10,60.407
1998-11,60.407
1998-12,60.407
1999-01,60.049
1999-02,60.049
1999-03,60.049
1999-04,59.192
1999-05,59.192
1999-06,59.192
1999-07,58.393
1999-08,58.393
1999-09,58.393
1999-10,58.343
1999-11,58.343
1999-12,58.343
2000-01,57.721
2000-02,57.721
2000-03,57.721
2000-04,55.485
2000-05,55.485
2000-06,55.485
2000-07,54.992
2000-08,54.992
2000-09,54.992
2000-10,54.258
2000-11,54.258
2000-12,54.258
2001-01,55.144
2001-02,55.144
2001-03,55.144
2001-04,54.032
2001-05,54.032
2001-06,54.032
2001-07,54.798
2001-08,54.798
2001-09,54.798
2001-10,55.752
2001-11,55.752
2001-12,55.752
2002-01,55.697
2002-02,55.697
2002-03,55.697
2002-04,56.271
2002-05,56.271
2002-06,56.271
2002-07,56.703
2002-08,56.703
2002-09,56.703
2002-10,57.91
2002-11,57.91
2002-12,57.91
2003-01,57.819
2003-02,57.819
2003-03,57.819
2003-04,58.961
2003-05,58.961
2003-06,58.961
2003-07,58.645
2003-08,58.645
2003-09,58.645
2003-10,59.445
2003-11,59.445
2003-12,59.445
2004-01,59.807
2004-02,59.807
2004-03,59.807
2004-04,60.055
2004-05,60.055
2004-06,60.055
2004-07,59.966
2004-08,59.966
2004-09,59.966
2004-10,60.637
2004-11,60.637
2004-12,60.637
2005-01,60.913
2005-02,60.913
2005-03,60.913
2005-04,60.642
2005-05,60.642
2005-06,60.642
2005-07,60.359
2005-08,60.359
2005-09,60.359
2005-10,61.32
2005-11,61.32
2005-12,61.32
2006-01,61.556
2006-02,61.556
2006-03,61.556
2006-04,61.221
2006-05,61.221
2006-06,61.221
2006-07,61.333
2006-08,61.333
2006-09,61.333
2006-10,61.827
2006-11,61.827
2006-12,61.827
2007-01,62.253
2007-02,62.253
2007-03,62.253
2007-04,61.572
2007-05,61.572
2007-06,61.572
2007-07,61.848
2007-08,61.848
2007-09,61.848
2007-10,62.719
2007-11,62.719
2007-12,62.719
2008-01,64.173
2008-02,64.173
2008-03,64.173
2008-04,63.852
2008-05,63.852
2008-06,63.852
2008-07,67.285
2008-08,67.285
2008-09,67.285
2008-10,73.245
2008-11,73.245
2008-12,73.245
2009-01,77.105
2009-02,77.105
2009-03,77.105
2009-04,80.28
2009-05,80.28
2009-06,80.28
2009-07,82.427
2009-08,82.427
2009-09,82.427
2009-10,84.029
2009-11,84.029
2009-12,84.029
2010-01,86.512
2010-02,86.512
2010-03,86.512
2010-04,88.128
2010-05,88.128
2010-06,88.128
2010-07,89.565
2010-08,89.565
2010-09,89.565
2010-10,91.611
2010-11,91.611
2010-12,91.611
2011-01,92.956
2011-02,92.956
2011-03,92.956
2011-04,92.194
2011-05,92.194
2011-06,92.194
2011-07,94.521
2011-08,94.521
2011-09,94.521
2011-10,96.091
2011-11,96.091
2011-12,96.091
2012-01,97.123
2012-02,97.123
2012-03,97.123
2012-04,97.828
2012-05,97.828
2012-06,97.828
2012-07,98.448
2012-08,98.448
2012-09,98.448
2012-10,100.075
2012-11,100.075
2012-12,100.075
2013-01,100.856
2013-02,100.856
2013-03,100.856
2013-04,100.232
2013-05,100.232
2013-06,100.232
2013-07,98.978
2013-08,98.978
2013-09,98.978
2013-10,100.134
2013-11,100.134
2013-12,100.134
2014-01,102.665
2014-02,102.665
2014-03,102.665
2014-04,100.973
2014-05,100.973
2014-06,100.973
2014-07,100.456
2014-08,100.456
2014-09,100.456
2014-10,101.618
2014-11,101.618
2014-12,101.618
2015-01,100.893
2015-02,100.893
2015-03,100.893
2015-04,99.771
2015-05,99.771
2015-06,99.771
2015-07,99.146
2015-08,99.146
2015-09,99.146
2015-10,103.219
2015-11,103.219
2015-12,103.219
2016-01,104.557
2016-02,104.557
2016-03,104.557
2016-04,104.137
2016-05,104.137
2016-06,104.137
2016-07,104.25
2016-08,104.25
2016-09,104.25
2016-10,105.318
2016-11,105.318
2016-12,105.318
2017-01,103.646
2017-02,103.646
2017-03,103.646
2017-04,102.798
2017-05,102.798
2017-06,102.798
2017-07,103.492
2017-08,103.492
2017-09,103.492
2017-10,103.006
2017-11,103.006
2017-12,103.006
2018-01,104.635
2018-02,104.635
2018-03,104.635
2018-04,103.541
2018-05,103.541
2018-06,103.541
2018-07,104.006
2018-08,104.006
2018-09,104.006
2018-10,105.547
2018-11,105.547
2018-12,105.547
2019-01,104.829
2019-02,104.829
2019-03,104.829
2019-04,103.53
2019-05,103.53
2019-06,103.53
2019-07,105.515
2019-08,105.515
2019-09,105.515
2019-10,106.887
2019-11,106.887
2019-12,106.887
2020-01,107.827
2020-02,107.827
2020-03,107.827
2020-04,134.835
2020-05,134.835
2020-06,134.835
2020-07,126.135
2020-08,126.135
2020-09,126.135
2020-10,127.842
2020-11,127.842
2020-12,127.842
2021-01,126.077
2021-02,126.077
2021-03,126.077
2021-04,123.788
2021-05,123.788
2021-06,123.788
2021-07,120.715
2021-08,120.715
2021-09,120.715
2021-10,121.636
2021-11,121.636
2021-12,121.636
2022-01,122.879
2022-02,122.879
2022-03,122.879
2022-04,121.071
2022-05,121.071
2022-06,121.071
2022-07,120.234
2022-08,120.234
2022-09,120.234
2022-10,120.207
2022-11,120.207
2022-12,120.207
2023-01,118.578
2023-02,118.578
2023-03,118.578
2023-04,120.649
2023-05,120.649
2023-06,120.649
