historical-inflation-rate-by-year
date,value
1914-01,1.0
1914-02,1.0
1914-03,1.0
1914-04,1.0
1914-05,1.0
1914-06,1.0
1914-07,1.0
1914-08,1.0
1914-09,1.0
1914-10,1.0
1914-11,1.0
1914-12,1.0
1915-01,1.98
1915-02,1.98
1915-03,1.98
1915-04,1.98
1915-05,1.98
1915-06,1.98
1915-07,1.98
1915-08,1.98
1915-09,1.98
1915-10,1.98
1915-11,1.98
1915-12,1.98
1916-01,12.62
1916-02,12.62
1916-03,12.62
1916-04,12.62
1916-05,12.62
1916-06,12.62
1916-07,12.62
1916-08,12.62
1916-09,12.62
1916-10,12.62
1916-11,12.62
1916-12,12.62
1917-01,18.1
1917-02,18.1
1917-03,18.1
1917-04,18.1
1917-05,18.1
1917-06,18.1
1917-07,18.1
1917-08,18.1
1917-09,18.1
1917-10,18.1
1917-11,18.1
1917-12,18.1
1918-01,20.44
1918-02,20.44
1918-03,20.44
1918-04,20.44
1918-05,20.44
1918-06,20.44
1918-07,20.44
1918-08,20.44
1918-09,20.44
1918-10,20.44
1918-11,20.44
1918-12,20.44
1919-01,14.55
1919-02,14.55
1919-03,14.55
1919-04,14.55
1919-05,14.55
1919-06,14.55
1919-07,14.55
1919-08,14.55
1919-09,14.55
1919-10,14.55
1919-11,14.55
1919-12,14.55
1920-01,2.65
1920-02,2.65
1920-03,2.65
1920-04,2.65
1920-05,2.65
1920-06,2.65
1920-07,2.65
1920-08,2.65
1920-09,2.65
1920-10,2.65
1920-11,2.65
1920-12,2.65
1921-01,-10.82
1921-02,-10.82
1921-03,-10.82
1921-04,-10.82
1921-05,-10.82
1921-06,-10.82
1921-07,-10.82
1921-08,-10.82
1921-09,-10.82
1921-10,-10.82
1921-11,-10.82
1921-12,-10.82
1922-01,-2.31
1922-02,-2.31
1922-03,-2.31
1922-04,-2.31
1922-05,-2.31
1922-06,-2.31
1922-07,-2.31
1922-08,-2.31
1922-09,-2.31
1922-10,-2.31
1922-11,-2.31
1922-12,-2.31
1923-01,2.37
1923-02,2.37
1923-03,2.37
1923-04,2.37
1923-05,2.37
1923-06,2.37
1923-07,2.37
1923-08,2.37
1923-09,2.37
1923-10,2.37
1923-11,2.37
1923-12,2.37
1924-01,0.0
1924-02,0.0
1924-03,0.0
1924-04,0.0
1924-05,0.0
1924-06,0.0
1924-07,0.0
1924-08,0.0
1924-09,0.0
1924-10,0.0
1924-11,0.0
1924-12,0.0
1925-01,3.47
1925-02,3.47
1925-03,3.47
1925-04,3.47
1925-05,3.47
1925-06,3.47
1925-07,3.47
1925-08,3.47
1925-09,3.47
1925-10,3.47
1925-11,3.47
1925-12,3.47
1926-01,-1.12
1926-02,-1.12
1926-03,-1.12
1926-04,-1.12
1926-05,-1.12
1926-06,-1.12
1926-07,-1.12
1926-08,-1.12
1926-09,-1.12
1926-10,-1.12
1926-11,-1.12
1926-12,-1.12
1927-01,-2.26
1927-02,-2.26
1927-03,-2.26
1927-04,-2.26
1927-05,-2.26
1927-06,-2.26
1927-07,-2.26
1927-08,-2.26
1927-09,-2.26
1927-10,-2.26
1927-11,-2.26
1927-12,-2.26
1928-01,-1.16
1928-02,-1.16
1928-03,-1.16
1928-04,-1.16
1928-05,-1.16
1928-06,-1.16
1928-07,-1.16
1928-08,-1.16
1928-09,-1.16
1928-10,-1.16
1928-11,-1.16
1928-12,-1.16
1929-01,0.58
1929-02,0.58
1929-03,0.58
1929-04,0.58
1929-05,0.58
1929-06,0.58
1929-07,0.58
1929-08,0.58
1929-09,0.58
1929-10,0.58
1929-11,0.58
1929-12,0.58
1930-01,-6.4
1930-02,-6.4
1930-03,-6.4
1930-04,-6.4
1930-05,-6.4
1930-06,-6.4
1930-07,-6.4
1930-08,-6.4
1930-09,-6.4
1930-10,-6.4
1930-11,-6.4
1930-12,-6.4
1931-01,-9.32
1931-02,-9.32
1931-03,-9.32
1931-04,-9.32
1931-05,-9.32
1931-06,-9.32
1931-07,-9.32
1931-08,-9.32
1931-09,-9.32
1931-10,-9.32
1931-11,-9.32
1931-12,-9.32
1932-01,-10.27
1932-02,-10.27
1932-03,-10.27
1932-04,-10.27
1932-05,-10.27
1932-06,-10.27
1932-07,-10.27
1932-08,-10.27
1932-09,-10.27
1932-10,-10.27
1932-11,-10.27
1932-12,-10.27
1933-01,0.76
1933-02,0.76
1933-03,0.76
1933-04,0.76
1933-05,0.76
1933-06,0.76
1933-07,0.76
1933-08,0.76
1933-09,0.76
1933-10,0.76
1933-11,0.76
1933-12,0.76
1934-01,1.52
1934-02,1.52
1934-03,1.52
1934-04,1.52
1934-05,1.52
1934-06,1.52
1934-07,1.52
1934-08,1.52
1934-09,1.52
1934-10,1.52
1934-11,1.52
1934-12,1.52
1935-01,2.99
1935-02,2.99
1935-03,2.99
1935-04,2.99
1935-05,2.99
1935-06,2.99
1935-07,2.99
1935-08,2.99
1935-09,2.99
1935-10,2.99
1935-11,2.99
1935-12,2.99
1936-01,1.45
1936-02,1.45
