industrial-production-historical-chart
date,value
1919-01,5.059
1919-02,4.835
1919-03,4.695
1919-04,4.779
1919-05,4.807
1919-06,5.114
1919-07,5.422
1919-08,5.506
1919-09,5.394
1919-10,5.338
1919-11,5.254
1919-12,5.338
1920-01,5.841
1920-02,5.841
1920-03,5.729
1920-04,5.422
1920-05,5.562
1920-06,5.617
1920-07,5.478
1920-08,5.506
1920-09,5.31
1920-10,5.086
1920-11,4.667
1920-12,4.388
1921-01,4.136
1921-02,4.052
1921-03,3.941
1921-04,3.941
1921-05,4.052
1921-06,4.024
1921-07,3.997
1921-08,4.136
1921-09,4.164
1921-10,4.416
1921-11,4.36
1921-12,4.332
1922-01,4.5
1922-02,4.695
1922-03,4.947
1922-04,4.779
1922-05,5.031
1922-06,5.282
1922-07,5.282
1922-08,5.17
1922-09,5.45
1922-10,5.757
1922-11,6.009
1922-12,6.176
1923-01,6.037
1923-02,6.121
1923-03,6.316
1923-04,6.456
1923-05,6.54
1923-06,6.484
1923-07,6.428
1923-08,6.316
1923-09,6.176
1923-10,6.148
1923-11,6.148
1923-12,6.009
1924-01,6.148
1924-02,6.26
1924-03,6.148
1924-04,5.953
1924-05,5.701
1924-06,5.45
1924-07,5.366
1924-08,5.562
1924-09,5.757
1924-10,5.897
1924-11,6.009
1924-12,6.176
1925-01,6.372
1925-02,6.372
1925-03,6.372
1925-04,6.428
1925-05,6.4
1925-06,6.344
1925-07,6.512
1925-08,6.4
1925-09,6.316
1925-10,6.568
1925-11,6.707
1925-12,6.791
1926-01,6.679
1926-02,6.679
1926-03,6.763
1926-04,6.763
1926-05,6.707
1926-06,6.791
1926-07,6.819
1926-08,6.903
1926-09,7.015
1926-10,7.015
1926-11,6.987
1926-12,6.959
1927-01,6.931
1927-02,6.987
1927-03,7.071
1927-04,6.903
1927-05,6.959
1927-06,6.931
1927-07,6.847
1927-08,6.847
1927-09,6.735
1927-10,6.596
1927-11,6.596
1927-12,6.624
1928-01,6.763
1928-02,6.819
1928-03,6.875
1928-04,6.847
1928-05,6.931
1928-06,6.987
1928-07,7.071
1928-08,7.21
1928-09,7.266
1928-10,7.406
1928-11,7.546
1928-12,7.686
1929-01,7.797
1929-02,7.769
1929-03,7.797
1929-04,7.937
1929-05,8.077
1929-06,8.133
1929-07,8.245
1929-08,8.161
1929-09,8.105
1929-10,7.965
1929-11,7.574
1929-12,7.238
1930-01,7.238
1930-02,7.21
1930-03,7.099
1930-04,7.043
1930-05,6.931
1930-06,6.735
1930-07,6.428
1930-08,6.288
1930-09,6.176
1930-10,6.009
1930-11,5.869
1930-12,5.729
1931-01,5.701
1931-02,5.729
1931-03,5.841
1931-04,5.869
1931-05,5.785
1931-06,5.645
1931-07,5.562
1931-08,5.366
1931-09,5.114
1931-10,4.919
1931-11,4.863
1931-12,4.835
1932-01,4.695
1932-02,4.583
1932-03,4.528
1932-04,4.22
1932-05,4.08
1932-06,3.941
1932-07,3.829
1932-08,3.941
1932-09,4.192
1932-10,4.332
1932-11,4.332
1932-12,4.248
1933-01,4.164
1933-02,4.192
1933-03,3.941
1933-04,4.22
1933-05,4.919
1933-06,5.673
1933-07,6.204
