national-debt-growth-by-year
date,value
1967-01,4.66
1967-02,4.66
1967-03,4.66
1967-04,4.66
1967-05,4.66
1967-06,4.66
1967-07,4.66
1967-08,4.66
1967-09,4.66
1967-10,4.66
1967-11,4.66
1967-12,4.66
1968-01,3.88
1968-02,3.88
1968-03,3.88
1968-04,3.88
1968-05,3.88
1968-06,3.88
1968-07,3.88
1968-08,3.88
1968-09,3.88
1968-10,3.88
1968-11,3.88
1968-12,3.88
1969-01,2.85
1969-02,2.85
1969-03,2.85
1969-04,2.85
1969-05,2.85
1969-06,2.85
1969-07,2.85
1969-08,2.85
1969-09,2.85
1969-10,2.85
1969-11,2.85
1969-12,2.85
1970-01,5.68
1970-02,5.68
1970-03,5.68
1970-04,5.68
1970-05,5.68
1970-06,5.68
1970-07,5.68
1970-08,5.68
1970-09,5.68
1970-10,5.68
1970-11,5.68
1970-12,5.68
1971-01,8.99
1971-02,8.99
1971-03,8.99
1971-04,8.99
1971-05,8.99
1971-06,8.99
1971-07,8.99
1971-08,8.99
1971-09,8.99
1971-10,8.99
1971-11,8.99
1971-12,8.99
1972-01,5.74
1972-02,5.74
1972-03,5.74
1972-04,5.74
1972-05,5.74
1972-06,5.74
1972-07,5.74
1972-08,5.74
1972-09,5.74
1972-10,5.74
1972-11,5.74
1972-12,5.74
1973-01,4.59
1973-02,4.59
1973-03,4.59
1973-04,4.59
1973-05,4.59
1973-06,4.59
1973-07,4.59
1973-08,4.59
1973-09,4.59
1973-10,4.59
1973-11,4.59
1973-12,4.59
1974-01,5.03
1974-02,5.03
1974-03,5.03
1974-04,5.03
1974-05,5.03
1974-06,5.03
1974-07,5.03
1974-08,5.03
1974-09,5.03
1974-10,5.03
1974-11,5.03
1974-12,5.03
1975-01,17.05
1975-02,17.05
1975-03,17.05
1975-04,17.05
1975-05,17.05
1975-06,17.05
1975-07,17.05
1975-08,17.05
1975-09,17.05
1975-10,17.05
1975-11,17.05
1975-12,17.05
1976-01,13.33
1976-02,13.33
1976-03,13.33
1976-04,13.33
1976-05,13.33
1976-06,13.33
1976-07,13.33
1976-08,13.33
1976-09,13.33
1976-10,13.33
1976-11,13.33
1976-12,13.33
1977-01,10.01
1977-02,10.01
1977-03,10.01
1977-04,10.01
1977-05,10.01
1977-06,10.01
1977-07,10.01
1977-08,10.01
1977-09,10.01
1977-10,10.01
1977-11,10.01
1977-12,10.01
1978-01,9.77
1978-02,9.77
1978-03,9.77
1978-04,9.77
1978-05,9.77
1978-06,9.77
1978-07,9.77
1978-08,9.77
1978-09,9.77
1978-10,9.77
1978-11,9.77
1978-12,9.77
1979-01,7.08
1979-02,7.08
1979-03,7.08
1979-04,7.08
1979-05,7.08
1979-06,7.08
1979-07,7.08
1979-08,7.08
1979-09,7.08
1979-10,7.08
1979-11,7.08
1979-12,7.08
1980-01,10.07
1980-02,10.07
1980-03,10.07
1980-04,10.07
1980-05,10.07
1980-06,10.07
1980-07,10.07
1980-08,10.07
1980-09,10.07
1980-10,10.07
1980-11,10.07
1980-12,10.07
1981-01,10.59
1981-02,10.59
1981-03,10.59
1981-04,10.59
1981-05,10.59
1981-06,10.59
1981-07,10.59
1981-08,10.59
1981-09,10.59
1981-10,10.59
1981-11,10.59
1981-12,10.59
1982-01,16.36
1982-02,16.36
1982-03,16.36
1982-04,16.36
1982-05,16.36
1982-06,16.36
1982-07,16.36
1982-08,16.36
1982-09,16.36
1982-10,16.36
1982-11,16.36
1982-12,16.36
1983-01,17.85
1983-02,17.85
1983-03,17.85
1983-04,17.85
1983-05,17.85
1983-06,17.85
