retail-sales-historical-chart
date,value
1992-01,118651.0
1992-02,118480.0
1992-03,117700.0
1992-04,118156.0
1992-05,118548.0
1992-06,118542.0
1992-07,119044.0
1992-08,119176.0
1992-09,120057.0
1992-10,120413.0
1992-11,120340.0
1992-12,121648.0
1993-01,122625.0
1993-02,121414.0
1993-03,120241.0
1993-04,122913.0
1993-05,123735.0
1993-06,123463.0
1993-07,125082.0
1993-08,124798.0
1993-09,125361.0
1993-10,125607.0
1993-11,126539.0
1993-12,127409.0
1994-01,126550.0
1994-02,128203.0
1994-03,130237.0
1994-04,130190.0
1994-05,129443.0
1994-06,130581.0
1994-07,130555.0
1994-08,131653.0
1994-09,132461.0
1994-10,133582.0
1994-11,133332.0
1994-12,133712.0
1995-01,133936.0
1995-02,131477.0
1995-03,132438.0
1995-04,132432.0
1995-05,133456.0
1995-06,134843.0
1995-07,134286.0
1995-08,135069.0
1995-09,135210.0
1995-10,134317.0
1995-11,135761.0
1995-12,136712.0
1996-01,134906.0
1996-02,136779.0
1996-03,137550.0
1996-04,137525.0
1996-05,138299.0
1996-06,137886.0
1996-07,137791.0
1996-08,137632.0
1996-09,139034.0
1996-10,139735.0
1996-11,139233.0
1996-12,139529.0
1997-01,140201.0
1997-02,141153.0
1997-03,141528.0
1997-04,140472.0
1997-05,139418.0
1997-06,141109.0
1997-07,142583.0
1997-08,142605.0
1997-09,142873.0
1997-10,142313.0
1997-11,142511.0
1997-12,142881.0
1998-01,142955.0
1998-02,143015.0
1998-03,143878.0
1998-04,145491.0
1998-05,145803.0
1998-06,146788.0
1998-07,145472.0
1998-08,144663.0
1998-09,145902.0
1998-10,147986.0
1998-11,148867.0
1998-12,149957.0
1999-01,149889.0
1999-02,151500.0
1999-03,152104.0
1999-04,152186.0
1999-05,153455.0
1999-06,153885.0
1999-07,154443.0
1999-08,155733.0
1999-09,155731.0
1999-10,155751.0
1999-11,157343.0
1999-12,159871.0
2000-01,158325.0
2000-02,160012.0
2000-03,160931.0
2000-04,158599.0
2000-05,158525.0
2000-06,158782.0
2000-07,157863.0
2000-08,158030.0
2000-09,159878.0
2000-10,159245.0
2000-11,158455.0
2000-12,157956.0
2001-01,158789.0
2001-02,158394.0
2001-03,156985.0
2001-04,159188.0
2001-05,158768.0
2001-06,157795.0
2001-07,157556.0
2001-08,158632.0
2001-09,155016.0
2001-10,165845.0
2001-11,161753.0
2001-12,159924.0
2002-01,159543.0
2002-02,160143.0
2002-03,159250.0
2002-04,161089.0
2002-05,158747.0
2002-06,160007.0
2002-07,161325.0
2002-08,162133.0
2002-09,159519.0
2002-10,159810.0
2002-11,160597.0
2002-12,161687.0
2003-01,161691.0
2003-02,158588.0
2003-03,161134.0
2003-04,161354.0
2003-05,162061.0
2003-06,163641.0
2003-07,164805.0
2003-08,166834.0
2003-09,165280.0
2003-10,164851.0
2003-11,166771.0
2003-12,165718.0
2004-01,165998.0
2004-02,166788.0
2004-03,169381.0
2004-04,167296.0
2004-05,169481.0
2004-06,166733.0
2004-07,168455.0
2004-08,168592.0
2004-09,171006.0
2004-10,171247.0
2004-11,171015.0
2004-12,173122.0
2005-01,171553.0
2005-02,173090.0
2005-03,172750.0
2005-04,173765.0
2005-05,172790.0
2005-06,177593.0
2005-07,177822.0
2005-08,175067.0
2005-09,173016.0
2005-10,172826.0
2005-11,175328.0
2005-12,175369.0
2006-01,179293.0
2006-02,177887.0
2006-03,178100.0
2006-04,178088.0
2006-05,177200.0
2006-06,177343.0
2006-07,176937.0
2006-08,176983.0
2006-09,177002.0
2006-10,177544.0
2006-11,177854.0
2006-12,179089.0
2007-01,178736.0
2007-02,178237.0
2007-03,178850.0
2007-04,177844.0
2007-05,179408.0
2007-06,177651.0
2007-07,178039.0
2007-08,178824.0
2007-09,178794.0
2007-10,179401.0
2007-11,179696.0
2007-12,177019.0
2008-01,176853.0
2008-02,174826.0
2008-03,174630.0
2008-04,174146.0
2008-05,174731.0
