united-states-economic-growth-rate
date,value
1947-04,-1.07
1947-05,-1.07
1947-06,-1.07
1947-07,-0.83
1947-08,-0.83
1947-09,-0.83
1947-10,6.26
1947-11,6.26
1947-12,6.26
1948-01,6.02
1948-02,6.02
1948-03,6.02
1948-04,6.6
1948-05,6.6
1948-06,6.6
1948-07,2.29
1948-08,2.29
1948-09,2.29
1948-10,0.45
1948-11,0.45
1948-12,0.45
1949-01,-5.51
1949-02,-5.51
1949-03,-5.51
1949-04,-1.36
1949-05,-1.36
1949-06,-1.36
1949-07,4.13
1949-08,4.13
1949-09,4.13
1949-10,-3.36
1949-11,-3.36
1949-12,-3.36
1950-01,15.72
1950-02,15.72
1950-03,15.72
1950-04,12.2
1950-05,12.2
1950-06,12.2
1950-07,15.46
1950-08,15.46
1950-09,15.46
1950-10,7.66
1950-11,7.66
1950-12,7.66
1951-01,5.43
1951-02,5.43
1951-03,5.43
1951-04,6.93
1951-05,6.93
1951-06,6.93
1951-07,8.24
1951-08,8.24
1951-09,8.24
1951-10,0.88
1951-11,0.88
1951-12,0.88
1952-01,4.27
1952-02,4.27
1952-03,4.27
1952-04,0.86
1952-05,0.86
1952-06,0.86
1952-07,2.89
1952-08,2.89
1952-09,2.89
1952-10,13.14
1952-11,13.14
1952-12,13.14
1953-01,7.44
1953-02,7.44
1953-03,7.44
1953-04,3.09
1953-05,3.09
1953-06,3.09
1953-07,-2.25
1953-08,-2.25
1953-09,-2.25
1953-10,-6.06
1953-11,-6.06
1953-12,-6.06
1954-01,-1.91
1954-02,-1.91
1954-03,-1.91
1954-04,0.44
1954-05,0.44
1954-06,0.44
1954-07,4.52
1954-08,4.52
1954-09,4.52
1954-10,7.83
1954-11,7.83
1954-12,7.83
1955-01,11.42
1955-02,11.42
1955-03,11.42
1955-04,6.51
1955-05,6.51
1955-06,6.51
1955-07,5.4
1955-08,5.4
1955-09,5.4
1955-10,2.4
1955-11,2.4
1955-12,2.4
1956-01,-1.55
1956-02,-1.55
1956-03,-1.55
1956-04,3.31
1956-05,3.31
1956-06,3.31
1956-07,-0.36
1956-08,-0.36
1956-09,-0.36
1956-10,6.58
1956-11,6.58
1956-12,6.58
1957-01,2.56
1957-02,2.56
1957-03,2.56
1957-04,-0.88
1957-05,-0.88
1957-06,-0.88
1957-07,3.92
1957-08,3.92
1957-09,3.92
1957-10,-4.14
1957-11,-4.14
1957-12,-4.14
1958-01,-10.38
1958-02,-10.38
1958-03,-10.38
1958-04,2.63
1958-05,2.63
1958-06,2.63
1958-07,9.26
1958-08,9.26
1958-09,9.26
1958-10,9.36
1958-11,9.36
1958-12,9.36
1959-01,7.69
1959-02,7.69
1959-03,7.69
1959-04,9.03
1959-05,9.03
1959-06,9.03
1959-07,0.28
1959-08,0.28
1959-09,0.28
1959-10,1.14
1959-11,1.14
1959-12,1.14
1960-01,8.99
1960-02,8.99
1960-03,8.99
1960-04,-2.16
1960-05,-2.16
1960-06,-2.16
1960-07,1.96
1960-08,1.96
1960-09,1.96
1960-10,-5.13
1960-11,-5.13
1960-12,-5.13
1961-01,2.7
1961-02,2.7
1961-03,2.7
1961-04,6.79
1961-05,6.79
1961-06,6.79
1961-07,7.68
1961-08,7.68
1961-09,7.68
1961-10,7.84
1961-11,7.84
1961-12,7.84
1962-01,7.13
1962-02,7.13
1962-03,7.13
1962-04,3.61
1962-05,3.61
1962-06,3.61
1962-07,4.91
1962-08,4.91
1962-09,4.91
1962-10,1.32
1962-11,1.32
1962-12,1.32
1963-01,4.37
1963-02,4.37
1963-03,4.37
1963-04,4.49
1963-05,4.49
1963-06,4.49
1963-07,8.79
1963-08,8.79
1963-09,8.79
1963-10,2.62
1963-11,2.62
1963-12,2.62
1964-01,8.43
1964-02,8.43
1964-03,8.43
1964-04,4.35
1964-05,4.35
1964-06,4.35
1964-07,6.25
1964-08,6.25
1964-09,6.25
1964-10,1.24
1964-11,1.24
1964-12,1.24
1965-01,9.68
1965-02,9.68
1965-03,9.68
1965-04,5.05
1965-05,5.05
1965-06,5.05
1965-07,8.89
1965-08,8.89
1965-09,8.89
1965-10,9.22
1965-11,9.22
1965-12,9.22
1966-01,9.74
1966-02,9.74
1966-03,9.74
1966-04,1.37
1966-05,1.37
1966-06,1.37
1966-07,3.39
1966-08,3.39
1966-09,3.39
1966-10,3.28
1966-11,3.28
1966-12,3.28
1967-01,3.54
1967-02,3.54
1967-03,3.54
1967-04,0.25
1967-05,0.25
1967-06,0.25
1967-07,3.78
1967-08,3.78
1967-09,3.78
1967-10,3.02
1967-11,3.02
1967-12,3.02
1968-01,8.16
1968-02,8.16
1968-03,8.16
1968-04,6.68
1968-05,6.68
1968-06,6.68
1968-07,3.1
1968-08,3.1
1968-09,3.1
1968-10,1.57
1968-11,1.57
1968-12,1.57
1969-01,6.26
1969-02,6.26
1969-03,6.26
1969-04,1.22
1969-05,1.22
1969-06,1.22
1969-07,2.64
1969-08,2.64
1969-09,2.64
1969-10,-1.95
1969-11,-1.95
1969-12,-1.95
1970-01,-0.59
1970-02,-0.59
1970-03,-0.59
1970-04,0.57
1970-05,0.57
1970-06,0.57
1970-07,3.69
1970-08,3.69
1970-09,3.69
1970-10,-4.29
1970-11,-4.29
1970-12,-4.29
1971-01,10.86
1971-02,10.86
1971-03,10.86
1971-04,2.16
1971-05,2.16
1971-06,2.16
1971-07,3.29
1971-08,3.29
1971-09,3.29
1971-10,0.94
1971-11,0.94
1971-12,0.94
1972-01,7.36
1972-02,7.36
1972-03,7.36
1972-04,9.08
1972-05,9.08
1972-06,9.08
1972-07,3.78
1972-08,3.78
1972-09,3.78
1972-10,6.7
1972-11,6.7
1972-12,6.7
1973-01,9.9
1973-02,9.9
1973-03,9.9
1973-04,4.35
1973-05,4.35
1973-06,4.35
1973-07,-2.1
1973-08,-2.1
1973-09,-2.1
1973-10,3.8
1973-11,3.8
1973-12,3.8
1974-01,-3.44
1974-02,-3.44
1974-03,-3.44
1974-04,0.95
1974-05,0.95
1974-06,0.95
1974-07,-3.78
1974-08,-3.78
1974-09,-3.78
1974-10,-1.55
1974-11,-1.55
1974-12,-1.55
1975-01,-4.87
1975-02,-4.87
1975-03,-4.87
1975-04,2.86
1975-05,2.86
1975-06,2.86
1975-07,6.85
1975-08,6.85
1975-09,6.85
1975-10,5.39
1975-11,5.39
1975-12,5.39
1976-01,9.0
1976-02,9.0
1976-03,9.0
1976-04,2.93
1976-05,2.93
1976-06,2.93
1976-07,2.19
1976-08,2.19
1976-09,2.19
1976-10,2.9
1976-11,2.9
1976-12,2.9
1977-01,4.73
1977-02,4.73
1977-03,4.73
1977-04,7.78
1977-05,7.78
1977-06,7.78
1977-07,7.22
1977-08,7.22
1977-09,7.22
1977-10,0.01
1977-11,0.01
1977-12,0.01
1978-01,1.28
1978-02,1.28
1978-03,1.28
1978-04,15.46
1978-05,15.46
1978-06,15.46
1978-07,4.02
1978-08,4.02
1978-09,4.02
1978-10,5.38
1978-11,5.38
1978-12,5.38
1979-01,0.72
1979-02,0.72
1979-03,0.72
1979-04,0.43
1979-05,0.43
1979-06,0.43
1979-07,2.97
1979-08,2.97
1979-09,2.97
1979-10,1.0
1979-11,1.0
1979-12,1.0
1980-01,1.26
1980-02,1.26
1980-03,1.26
1980-04,-8.24
1980-05,-8.24
1980-06,-8.24
1980-07,-0.48
1980-08,-0.48
1980-09,-0.48
1980-10,7.46
1980-11,7.46
1980-12,7.46
1981-01,7.84
1981-02,7.84
1981-03,7.84
1981-04,-2.96
1981-05,-2.96
1981-06,-2.96
1981-07,4.79
1981-08,4.79
1981-09,4.79
1981-10,-4.36
1981-11,-4.36
1981-12,-4.36
1982-01,-6.21
1982-02,-6.21
1982-03,-6.21
1982-04,1.82
1982-05,1.82
1982-06,1.82
1982-07,-1.53
1982-08,-1.53
1982-09,-1.53
1982-10,0.16
