united-states-population-2023-09-10
date,value
1951-01,1.56
1951-02,1.56
1951-03,1.56
1951-04,1.56
1951-05,1.56
1951-06,1.56
1951-07,1.56
1951-08,1.56
1951-09,1.56
1951-10,1.56
1951-11,1.56
1951-12,1.56
1952-01,1.56
1952-02,1.56
1952-03,1.56
1952-04,1.56
1952-05,1.56
1952-06,1.56
1952-07,1.56
1952-08,1.56
1952-09,1.56
1952-10,1.56
1952-11,1.56
1952-12,1.56
1953-01,1.64
1953-02,1.64
1953-03,1.64
1953-04,1.64
1953-05,1.64
1953-06,1.64
1953-07,1.64
1953-08,1.64
1953-09,1.64
1953-10,1.64
1953-11,1.64
1953-12,1.64
1954-01,1.77
1954-02,1.77
1954-03,1.77
1954-04,1.77
1954-05,1.77
1954-06,1.77
1954-07,1.77
1954-08,1.77
1954-09,1.77
1954-10,1.77
1954-11,1.77
1954-12,1.77
1955-01,1.85
1955-02,1.85
1955-03,1.85
1955-04,1.85
1955-05,1.85
1955-06,1.85
1955-07,1.85
1955-08,1.85
1955-09,1.85
1955-10,1.85
1955-11,1.85
1955-12,1.85
1956-01,1.82
1956-02,1.82
1956-03,1.82
1956-04,1.82
1956-05,1.82
1956-06,1.82
1956-07,1.82
1956-08,1.82
1956-09,1.82
1956-10,1.82
1956-11,1.82
1956-12,1.82
1957-01,1.76
1957-02,1.76
1957-03,1.76
1957-04,1.76
1957-05,1.76
1957-06,1.76
1957-07,1.76
1957-08,1.76
1957-09,1.76
1957-10,1.76
1957-11,1.76
1957-12,1.76
1958-01,1.92
1958-02,1.92
1958-03,1.92
1958-04,1.92
1958-05,1.92
1958-06,1.92
1958-07,1.92
1958-08,1.92
1958-09,1.92
1958-10,1.92
1958-11,1.92
1958-12,1.92
1959-01,1.87
1959-02,1.87
1959-03,1.87
1959-04,1.87
1959-05,1.87
1959-06,1.87
1959-07,1.87
1959-08,1.87
1959-09,1.87
1959-10,1.87
1959-11,1.87
1959-12,1.87
1960-01,1.65
1960-02,1.65
1960-03,1.65
1960-04,1.65
1960-05,1.65
1960-06,1.65
1960-07,1.65
1960-08,1.65
1960-09,1.65
1960-10,1.65
1960-11,1.65
1960-12,1.65
1961-01,1.65
1961-02,1.65
1961-03,1.65
1961-04,1.65
1961-05,1.65
1961-06,1.65
1961-07,1.65
1961-08,1.65
1961-09,1.65
1961-10,1.65
1961-11,1.65
1961-12,1.65
1962-01,1.58
1962-02,1.58
1962-03,1.58
1962-04,1.58
1962-05,1.58
1962-06,1.58
1962-07,1.58
1962-08,1.58
1962-09,1.58
1962-10,1.58
1962-11,1.58
1962-12,1.58
1963-01,1.5
1963-02,1.5
1963-03,1.5
1963-04,1.5
1963-05,1.5
1963-06,1.5
1963-07,1.5
1963-08,1.5
1963-09,1.5
1963-10,1.5
1963-11,1.5
1963-12,1.5
1964-01,1.42
1964-02,1.42
1964-03,1.42
1964-04,1.42
1964-05,1.42
1964-06,1.42
1964-07,1.42
1964-08,1.42
1964-09,1.42
1964-10,1.42
1964-11,1.42
1964-12,1.42
1965-01,1.3
1965-02,1.3
1965-03,1.3
1965-04,1.3
1965-05,1.3
1965-06,1.3
1965-07,1.3
1965-08,1.3
1965-09,1.3
1965-10,1.3
1965-11,1.3
1965-12,1.3
1966-01,1.12
1966-02,1.12
1966-03,1.12
1966-04,1.12
1966-05,1.12
1966-06,1.12
1966-07,1.12
1966-08,1.12
1966-09,1.12
1966-10,1.12
1966-11,1.12
1966-12,1.12
1967-01,1.02
1967-02,1.02
1967-03,1.02
1967-04,1.02
1967-05,1.02
1967-06,1.02
1967-07,1.02
1967-08,1.02
1967-09,1.02
1967-10,1.02
1967-11,1.02
1967-12,1.02
1968-01,1.01
1968-02,1.01
1968-03,1.01
1968-04,1.01
1968-05,1.01
1968-06,1.01
1968-07,1.01
1968-08,1.01
1968-09,1.01
1968-10,1.01
1968-11,1.01
1968-12,1.01
1969-01,1.08
1969-02,1.08
1969-03,1.08
1969-04,1.08
1969-05,1.08
1969-06,1.08
1969-07,1.08
1969-08,1.08
1969-09,1.08
1969-10,1.08
1969-11,1.08
1969-12,1.08
1970-01,1.25
1970-02,1.25
1970-03,1.25
1970-04,1.25
1970-05,1.25
1970-06,1.25
1970-07,1.25
1970-08,1.25
1970-09,1.25
1970-10,1.25
1970-11,1.25
1970-12,1.25
1971-01,1.29
1971-02,1.29
1971-03,1.29
1971-04,1.29
1971-05,1.29
1971-06,1.29
1971-07,1.29
1971-08,1.29
1971-09,1.29
1971-10,1.29
1971-11,1.29
1971-12,1.29
1972-01,1.15
1972-02,1.15
1972-03,1.15
1972-04,1.15
1972-05,1.15
1972-06,1.15
1972-07,1.15
1972-08,1.15
1972-09,1.15
1972-10,1.15
1972-11,1.15
1972-12,1.15
1973-01,1.01
1973-02,1.01
1973-03,1.01
1973-04,1.01
