date,1-year-treasury-rate-yield-chart_monthly_value,10-year-treasury-bond-rate-yield-chart_monthly_value,30-year-fixed-mortgage-rate-chart_monthly_value,30-year-treasury-bond-rate-yield-chart_monthly_value,5-year-treasury-bond-rate-yield-chart_monthly_value,capacity-utilization-rate-historical-chart_monthly_value,debt-to-gdp-ratio-historical-chart_monthly_value,fed-funds-rate-historical-chart_monthly_value,historical-inflation-rate-by-year_monthly_expanded_value,industrial-production-historical-chart_monthly_value,national-debt-growth-by-year_monthly_expanded_value,retail-sales-historical-chart_monthly_value,united-states-economic-growth-rate_quarterly_expanded_value,us-national-unemployment-rate_monthly_value
1992-01,4.150952380952381,7.032380952380953,8.68,7.581904761904762,6.242857142857143,79.43,60.997,4.034193548387097,2.9,61.647,9.87,118651.0,4.79,7.3
1992-02,4.287368421052631,7.337894736842105,8.83,7.854736842105264,6.577894736842105,79.836,60.997,4.057586206896552,2.9,62.079,9.87,118480.0,4.79,7.4
1992-03,4.634545454545454,7.542272727272728,8.98,7.969545454545455,6.945454545454546,80.339,60.997,3.983225806451613,2.9,62.596,9.87,117700.0,4.79,7.4
1992-04,4.299047619047619,7.480476190476191,8.85,7.962380952380952,6.784285714285714,80.782,61.579,3.734666666666667,2.9,63.073,9.87,118156.0,4.34,7.4
1992-05,4.189500000000001,7.392,8.6,7.891,6.6925,80.869,61.579,3.823225806451613,2.9,63.276,9.87,118548.0,4.34,7.6
1992-06,4.165909090909091,7.261818181818182,8.43,7.841818181818183,6.482727272727273,80.735,61.579,3.7626666666666666,2.9,63.31,9.87,118542.0,4.34,7.8
1992-07,3.5959090909090907,6.844545454545455,8.05,7.598181818181818,5.836818181818182,81.279,61.898,3.253548387096774,2.9,63.877,9.87,119044.0,3.95,7.7
1992-08,3.471904761904762,6.585714285714286,8.01,7.39047619047619,5.596190476190476,80.654,61.898,3.303225806451613,2.9,63.522,9.87,119176.0,3.95,7.6
1992-09,3.1842857142857146,6.415238095238095,8.02,7.3409523809523805,5.38,80.738,61.898,3.219666666666667,2.9,63.722,9.87,120057.0,3.95,7.6
1992-10,3.302380952380952,6.589047619047619,8.21,7.531904761904761,5.600476190476191,81.126,62.523,3.099032258064516,2.9,64.156,9.87,120413.0,4.17,7.3
1992-11,3.682105263157895,6.873157894736842,8.29,7.606842105263158,6.037894736842105,81.297,62.523,3.0876666666666663,2.9,64.414,9.87,120340.0,4.17,7.4
1992-12,3.7113636363636364,6.77,8.14,7.4363636363636365,6.07590909090909,81.28,62.523,2.919677419354839,2.9,64.516,9.87,121648.0,4.17,7.4
1993-01,3.4963157894736847,6.6000000000000005,7.86,7.341578947368421,5.833684210526316,81.463,62.867,3.024193548387097,2.75,64.774,8.59,122625.0,0.67,7.3
1993-02,3.3857894736842105,6.258947368421053,7.53,7.0894736842105255,5.428947368421053,81.716,62.867,3.027142857142857,2.75,65.081,8.59,121414.0,0.67,7.1
1993-03,3.3330434782608696,5.975217391304348,7.5,6.821739130434783,5.194782608695652,81.511,62.867,3.074193548387097,2.75,65.018,8.59,120241.0,0.67,7.0
1993-04,3.244285714285714,5.9695238095238095,7.43,6.854285714285714,5.132857142857143,81.624,63.915,2.957666666666667,2.75,65.204,8.59,122913.0,2.33,7.1
1993-05,3.3634999999999997,6.0355,7.5,6.919,5.1979999999999995,81.181,63.915,2.9961290322580645,2.75,64.943,8.59,123735.0,2.33,7.1
1993-06,3.536363636363636,5.962727272727273,7.34,6.807272727272727,5.216818181818182,81.256,63.915,3.038,2.75,65.098,8.59,123463.0,2.33,7.0
1993-07,3.4747619047619045,5.805238095238095,7.25,6.6257142857142854,5.0909523809523805,81.332,64.101,3.055483870967742,2.75,65.255,8.59,125082.0,1.91,6.9
1993-08,3.443636363636364,5.677727272727273,6.97,6.323181818181817,5.0249999999999995,81.13,64.101,3.032258064516129,2.75,65.195,8.59,124798.0,1.91,6.8
1993-09,3.356190476190476,5.36,6.95,5.997142857142857,4.734761904761904,81.411,64.101,3.0863333333333336,2.75,65.528,8.59,125361.0,1.91,6.7
1993-10,3.3920000000000003,5.334,6.86,5.939,4.707,81.869,64.669,2.9925806451612904,2.75,66.015,8.59,125607.0,5.44,6.8
1993-11,3.5789999999999997,5.724,7.31,6.21,5.063000000000001,82.1,64.669,3.0180000000000002,2.75,66.329,8.59,126539.0,5.44,6.6
1993-12,3.6072727272727274,5.774090909090909,7.13,6.251818181818181,5.146818181818182,82.392,64.669,2.9551612903225806,2.75,66.704,8.59,127409.0,5.44,6.5
1994-01,3.5424999999999995,5.750500000000001,6.97,6.2909999999999995,5.087,82.472,64.307,3.0506451612903227,2.67,66.916,5.83,126550.0,3.88,6.6
1994-02,3.865789473684211,5.9731578947368416,7.32,6.490526315789474,5.395263157894737,82.336,64.307,3.245,2.67,66.964,5.83,128203.0,3.88,6.6
1994-03,4.3191304347826085,6.482608695652174,7.8,6.906521739130435,5.941304347826088,82.947,64.307,3.335806451612903,2.67,67.634,5.83,130237.0,3.88,6.5
1994-04,4.815789473684211,6.972105263157895,8.32,7.2689473684210535,6.524210526315789,83.213,64.107,3.555,2.67,68.033,5.83,130190.0,5.42,6.4
1994-05,5.314285714285714,7.183333333333333,8.53,7.4123809523809525,6.779999999999999,83.366,64.107,4.010967741935484,2.67,68.353,5.83,129443.0,5.42,6.1
1994-06,5.267272727272727,7.101363636363636,8.46,7.395,6.695454545454546,83.661,64.107,4.245666666666667,2.67,68.8,5.83,130581.0,5.42,6.1
1994-07,5.4765,7.298,8.57,7.578999999999999,6.9094999999999995,83.507,64.012,4.256129032258064,2.67,68.886,5.83,130555.0,2.34,6.1
1994-08,5.562173913043478,7.236086956521739,8.56,7.486086956521739,6.877826086956522,83.792,64.012,4.474516129032258,2.67,69.341,5.83,131653.0,2.34,6.0
1994-09,5.7628571428571425,7.457142857142857,8.82,7.712380952380952,7.083333333333333,83.782,64.012,4.733666666666666,2.67,69.557,5.83,132461.0,2.34,5.9
1994-10,6.1145,7.744,9.03,7.935,7.4030000000000005,84.18,64.386,4.76,2.67,70.119,5.83,133582.0,4.58,5.8
1994-11,6.540000000000001,7.955,9.25,8.0815,7.717499999999999,84.466,64.386,5.294666666666667,2.67,70.594,5.83,133332.0,4.58,5.6
1994-12,7.136190476190476,7.813809523809524,9.18,7.871428571428572,7.776190476190477,84.999,64.386,5.453225806451614,2.67,71.281,5.83,133712.0,4.58,5.5
1995-01,7.0504999999999995,7.7795000000000005,9.13,7.846500000000001,7.756,84.887,64.663,5.52741935483871,2.54,71.43,3.93,133936.0,1.42,5.6
1995-02,6.6968421052631575,7.469473684210525,8.73,7.611578947368422,7.3657894736842096,84.481,64.663,5.915357142857142,2.54,71.334,3.93,131477.0,1.42,5.4
1995-03,6.431739130434783,7.204782608695653,8.38,7.447826086956522,7.047391304347826,84.317,64.663,5.976451612903226,2.54,71.445,3.93,132438.0,1.42,5.4
1995-04,6.265789473684211,7.062631578947368,8.26,7.360526315789474,6.86,83.884,65.313,6.047333333333333,2.54,71.329,3.93,132432.0,1.19,5.8
1995-05,5.997727272727272,6.632727272727274,7.85,6.95,6.414545454545455,83.971,65.313,6.009032258064516,2.54,71.66,3.93,133456.0,1.19,5.6
1995-06,5.642272727272727,6.168181818181818,7.53,6.573181818181819,5.928636363636364,83.938,65.313,6.001333333333333,2.54,71.897,3.93,134843.0,1.19,5.6
1995-07,5.593999999999999,6.2780000000000005,7.79,6.720999999999999,6.0085,83.267,64.739,5.851935483870967,2.54,71.592,3.93,134286.0,3.4,5.7
1995-08,5.752608695652174,6.488260869565217,7.88,6.860434782608695,6.243913043478261,84.034,64.739,5.735161290322581,2.54,72.534,3.93,135069.0,3.4,5.7
1995-09,5.62,6.1975,7.62,6.5489999999999995,6.0015,84.034,64.739,5.804666666666666,2.54,72.825,3.93,135210.0,3.4,5.6
1995-10,5.590476190476191,6.044761904761905,7.45,6.374761904761905,5.862857142857143,83.558,64.183,5.756129032258064,2.54,72.713,3.93,134317.0,2.72,5.5
