date,1-year-treasury-rate-yield-chart_monthly_value,10-year-treasury-bond-rate-yield-chart_monthly_value,30-year-fixed-mortgage-rate-chart_monthly_value,30-year-treasury-bond-rate-yield-chart_monthly_value,5-year-treasury-bond-rate-yield-chart_monthly_value,capacity-utilization-rate-historical-chart_monthly_value,debt-to-gdp-ratio-historical-chart_monthly_value,fed-funds-rate-historical-chart_monthly_value,historical-inflation-rate-by-year_monthly_expanded_value,industrial-production-historical-chart_monthly_value,national-debt-growth-by-year_monthly_expanded_value,retail-sales-historical-chart_monthly_value,united-states-economic-growth-rate_quarterly_expanded_value,us-national-unemployment-rate_monthly_value
1992/1/1,4.150952381,7.032380952,8.68,7.581904762,6.242857143,79.43,60.997,4.034193548,2.9,61.647,9.87,118651,4.79,7.3
1992/2/1,4.287368421,7.337894737,8.83,7.854736842,6.577894737,79.836,60.997,4.057586207,2.9,62.079,9.87,118480,4.79,7.4
1992/3/1,4.634545455,7.542272727,8.98,7.969545455,6.945454545,80.339,60.997,3.983225806,2.9,62.596,9.87,117700,4.79,7.4
1992/4/1,4.299047619,7.48047619,8.85,7.962380952,6.784285714,80.782,61.579,3.734666667,2.9,63.073,9.87,118156,4.34,7.4
1992/5/1,4.1895,7.392,8.6,7.891,6.6925,80.869,61.579,3.823225806,2.9,63.276,9.87,118548,4.34,7.6
1992/6/1,4.165909091,7.261818182,8.43,7.841818182,6.482727273,80.735,61.579,3.762666667,2.9,63.31,9.87,118542,4.34,7.8
1992/7/1,3.595909091,6.844545455,8.05,7.598181818,5.836818182,81.279,61.898,3.253548387,2.9,63.877,9.87,119044,3.95,7.7
1992/8/1,3.471904762,6.585714286,8.01,7.39047619,5.596190476,80.654,61.898,3.303225806,2.9,63.522,9.87,119176,3.95,7.6
1992/9/1,3.184285714,6.415238095,8.02,7.340952381,5.38,80.738,61.898,3.219666667,2.9,63.722,9.87,120057,3.95,7.6
1992/10/1,3.302380952,6.589047619,8.21,7.531904762,5.60047619,81.126,62.523,3.099032258,2.9,64.156,9.87,120413,4.17,7.3
