date,fed-funds-rate-historical-chart_monthly_value,1-year-treasury-rate-yield-chart_monthly_value,5-year-treasury-bond-rate-yield-chart_monthly_value,10-year-treasury-bond-rate-yield-chart_monthly_value,30-year-treasury-bond-rate-yield-chart_monthly_value,30-year-fixed-mortgage-rate-chart_monthly_value,historical-inflation-rate-by-year_monthly_expanded_value,debt-to-gdp-ratio-historical-chart_monthly_value,national-debt-growth-by-year_monthly_expanded_value,capacity-utilization-rate-historical-chart_monthly_value,industrial-production-historical-chart_monthly_value,retail-sales-historical-chart_monthly_value,us-national-unemployment-rate_monthly_value,united-states-population-2023-09-10,united-states-economic-growth-rate_quarterly_expanded_value
Jan-92,4.034193548,4.150952381,6.242857143,7.032380952,7.581904762,8.68,2.9,60.997,9.87,79.43,61.647,118651,7.3,1.44,4.79
Feb-92,4.057586207,4.287368421,6.577894737,7.337894737,7.854736842,8.83,2.9,60.997,9.87,79.836,62.079,118480,7.4,1.44,4.79
Mar-92,3.983225806,4.634545455,6.945454545,7.542272727,7.969545455,8.98,2.9,60.997,9.87,80.339,62.596,117700,7.4,1.44,4.79
Apr-92,3.734666667,4.299047619,6.784285714,7.48047619,7.962380952,8.85,2.9,61.579,9.87,80.782,63.073,118156,7.4,1.44,4.34
May-92,3.823225806,4.1895,6.6925,7.392,7.891,8.6,2.9,61.579,9.87,80.869,63.276,118548,7.6,1.44,4.34
Jun-92,3.762666667,4.165909091,6.482727273,7.261818182,7.841818182,8.43,2.9,61.579,9.87,80.735,63.31,118542,7.8,1.44,4.34
Jul-92,3.253548387,3.595909091,5.836818182,6.844545455,7.598181818,8.05,2.9,61.898,9.87,81.279,63.877,119044,7.7,1.44,3.95
Aug-92,3.303225806,3.471904762,5.596190476,6.585714286,7.39047619,8.01,2.9,61.898,9.87,80.654,63.522,119176,7.6,1.44,3.95
Sep-92,3.219666667,3.184285714,5.38,6.415238095,7.340952381,8.02,2.9,61.898,9.87,80.738,63.722,120057,7.6,1.44,3.95
Oct-92,3.099032258,3.302380952,5.60047619,6.589047619,7.531904762,8.21,2.9,62.523,9.87,81.126,64.156,120413,7.3,1.44,4.17
Nov-92,3.087666667,3.682105263,6.037894737,6.873157895,7.606842105,8.29,2.9,62.523,9.87,81.297,64.414,120340,7.4,1.44,4.17
Dec-92,2.919677419,3.711363636,6.075909091,6.77,7.436363636,8.14,2.9,62.523,9.87,81.28,64.516,121648,7.4,1.44,4.17
Jan-93,3.024193548,3.496315789,5.833684211,6.6,7.341578947,7.86,2.75,62.867,8.59,81.463,64.774,122625,7.3,1.41,0.67
Feb-93,3.027142857,3.385789474,5.428947368,6.258947368,7.089473684,7.53,2.75,62.867,8.59,81.716,65.081,121414,7.1,1.41,0.67
Mar-93,3.074193548,3.333043478,5.194782609,5.975217391,6.82173913,7.5,2.75,62.867,8.59,81.511,65.018,120241,7,1.41,0.67
Apr-93,2.957666667,3.244285714,5.132857143,5.96952381,6.854285714,7.43,2.75,63.915,8.59,81.624,65.204,122913,7.1,1.41,2.33
May-93,2.996129032,3.3635,5.198,6.0355,6.919,7.5,2.75,63.915,8.59,81.181,64.943,123735,7.1,1.41,2.33
